ReviewText,Date,Title,UserID,Brand,Product,CelebrityBranded
I am addicted to this lipstick I love the color and the way it looks on my lips I love the way it goes on it is so easy and flawless to apply. The color is an absolute perfect match for my complexion and I receive many compliments.,29 Jan 2025,An absolute must have in my life,leezack,Anastasia,Lip,No
"I was looking for a lil stain that would compliment my olive skin and have staying power. I was using Nars and decided switch. I absolutely love the colour and matte finish! I add some gloss on top for a more glam look, or just leave it as is. Lasts all day and doesn’t cake at all. Love it!",29 Jan 2025,Rosy Mauve is stunning!!!!,zensky,Anastasia,Lip,No
"Very easy to use, stay in place. And very comfortable.
I will get more colors for sure.",28 Jan 2025,Deep red Berry,NefertitiB,Anastasia,Lip,No
"Very pretty color and goes on great. Only deducting a star on a personal level because my lips are always so dry and liquid lipsticks show it well. Otherwise, very nice!",25 Jan 2025,Pretty color!,ashleynich0,Anastasia,Lip,No
Loving this lipstick. Feels like butter on the lips.,25 Jan 2025,Velvety soft!,purpledank,Anastasia,Lip,No
"I love the colours and texture, tried Crush and peach Amber. But doesn’t last at all. I had to keep applying it.  Not worth the price.",09 Jan 2025,Not long lasting,surib,Anastasia,Lip,No
So creamy and smooth. I love it. Lots of nude collections. I kinda felt its little bit drying so I had to use a little bit lipgloss on top of it. Cute package though.,08 Jan 2025,Creamy & smooth,PrezMP,Anastasia,Lip,No
"I tried first time this color and it suits on my skin really well …the amazing thing is it lasts very long …I love it ..Normally ,I wear different lipsticks but it stays on me only 1 hours but this one is game changer for me",5 Jan 2025,,palvirandhawa,Anastasia,Lip,No
"I really wanted to love this product and was so excited when I got it, but it is not for me... it transferred to my teeth, did not last as long as I thought, and is very drying on my lips... too bad.. The color is pretty, though.",5 Jan 2025,Not for me...,transinat,Anastasia,Lip,No
I love it so much! Makes my lips look so much smoother!,2 Jan 2025,,jocelynr85,Anastasia,Lip,No
Beautiful colors I have like 5 of them all beautiful!!!,28 Dec 2024,Must have,ale1,Anastasia,Lip,No
"I absolutely adore this lip product. It's comfortable, long wearing and matte. The colour is stunning and the applicator is perfect. Love everything about this product. It also smells good.",24 Dec 2024,Great lip product.,Jo1984,Anastasia,Lip,No
Love this color and love the coverage. Highly recommend.,24 Dec 2024,A Must Lipgloss,daclb,Anastasia,Lip,No
I actually LOVE THIS FORMULA I’m only taking one star off bc for my skin tone I can never find a nude shade that I love and pure Hollywood in the old formula was my perfect shade (not too bright not too muted perfect neutral but this pure Hollywood is a lot darker I think the formula does make them go on darker. This formula is so good tho!!! Original formula pure Hollywood on right and new on left,19 Dec 2024,Love but pure Hollywood shade isn’t the same,cansan1980,Anastasia,Lip,No
Very dry. Paid a lot for it and it's a waste of money,18 Dec 2024,Not good. Paid a lot of money  for this and it's,linatricarico,Anastasia,Lip,No
"I LOVE the velvet liquid lipsticks, but i’m so frustrated with the color looking one way in the bottle/ in pictures and when i try it on, it’s not that color at all. I thought this was going to be a neutral pink mauve. nope. it’s so peach. i’m super bummed.",17 Dec 2024,It’s a No for me,christiecritter,Anastasia,Lip,No
"The texture of this liquid lipstick is amazing, so comfortable on the lips, long lasting, and not drying at all. And the amber shade (which I have) is a must have for all skin tones. You must get your hands on these!!",16 Dec 2024,Absolute Fav,queenstatus,Anastasia,Lip,No
"The pillowy soft, velvet  texture and all day staying power are a part of  what makes this my new favorite lippie! The colors are pretty too! Love!",15 Dec 2024,New Fav!,binsky,Anastasia,Lip,No
"First review I have ever written, I am OBSESSED with this magical formula, it looks so good, and I have been searching for this exact shade of red for years. I also have Pale mauve which is perfect for everyday use.",10 Dec 2024,Dear ABH: please never discontinue this line,kwals6,Anastasia,Lip,No
"I was excited to get this and even got 3 colors right away, I am disappointed though. It’s thick, heavy and does not last, gets on my teeth and anything else that comes close to my mouth and needs constant reapplication. It even manages to take off the lip liner with it..",9 Dec 2024,Not long lasting,Bethbun,Anastasia,Lip,No
I like the texture and consistency of this formula. It’s a whipped creamy formula that applies easily. Does not feel dry or crack on the lips. It’s more moisturizing than the original formula. I swatched most of the nude shades.,7 Dec 2024,ABH Lip Velvet Liquid Lipstick,julliette88,Anastasia,Lip,No
Thanks to BzzAgent i was able to try this amazing product. This color is actually too light for my liking but the way it feels is so nice.,3 Dec 2024,Love,tttvo,Anastasia,Lip,No
Thanks to BzzAgent i got to try this in exchange for an honest review and i honestly love it. It's so smooth and velvety. Not like any matte lip product I've ever tried before. My go to lip color now,3 Dec 2024,A staple,tttvo,Anastasia,Lip,No
This product absolutely exceeded expectation. It is very velvety as described. I would recommend and I would purchase again.,26 Nov 2024,,cannetella,Anastasia,Lip,No
"Omg, I’ve never written a hard word about AB but I was so excited to get this. When I put it on immediately my lips started to tingle, then my lips began to swell in four spots and even looked like it blistered. I have never had a reaction to cosmetics but I think I’m allergic to something in here",25 Nov 2024,Allergic Reaction.,urka27,Anastasia,Lip,No
For a brown girl this is very light makes your lips look grey. It goes on very smooth but does not stay at all. As soon I took a sip from a straw the entire lipstick was gone!! I’m returning this it’s not worth it,24 Nov 2024,Way too light/not worth it,Hina2407,Anastasia,Lip,No
"Pro-buttery-soft-non drying -a little goes along way

Con-idk if i like it on me
I know my skin tone (fair w/rosy(pink) cool clear winter (i happen to be a light winter) which is unique 

this doesn’t look bad but not the most flattering it’s on the boarder of universal but I’m thinking warm toned wether (spring clear)or(autumn muted) toned I think it would look better on them..
I’m going to see if I can use different glosses to see if I can manipulate it to look good

I’m going with 4 stars because I don’t think it warrants a bad product just color title is miss leading (maybe this brand isn’t consistent? Not sure but the product feel is really nice",22 Nov 2024,Confused but good,butterflymel48,Anastasia,Lip,No
Not sure if I like the formula . Easily transferable. Not a full lip stain. Prefer nars quality . This is creamy texture,18 Nov 2024,It’s ok,adjm22,Anastasia,Lip,No
Love love love this color with a brownish red  lip liner! love the product and the way it stayed on for at least 7 hours without reapplying,17 Nov 2024,The Kiss of Reds,AppleKats,Anastasia,Lip,No
I got the Hush Rose color and it looks a little less pink on my fair/light complexion. It looks more of like a natural lip color on me but I still think it’s a beautiful color.,16 Nov 2024,Not as pink as shown,Jamie2010,Anastasia,Lip,No
"I love this liquid lipstick! The texture is smooth, similar to a lipstick but creamier. The colour is stunning and doesn't dry out the lips. Only con is not as long lasting and not transfer proof.",15 Nov 2024,Love the colour,Sarahcali,Anastasia,Lip,No
I really like this formula..it’s velvety very very nice and the color is very pretty..u don’t need to put foundation just use this lipstick and go ..will buy more,13 Nov 2024,This color is very nice will buy more,quenejjsks,Anastasia,Lip,No
"The color is beautiful, but the formulae is so matte and so drying that it made my lips like I was 80. They looked all wrinkled and shriveled and incredibly dehydrated. Not a look I am going for at all!",12 Nov 2024,Too dry for my lips!,krislmay,Anastasia,Lip,No
Great comfortable lip product with good staying power! Buy it!,12 Nov 2024,,BrittMarFlg,Anastasia,Lip,No
"Beautiful color, it just doesn’t stay on. I have reapply way too often",11 Nov 2024,Meh,toyny,Anastasia,Lip,No
"These lipsticks are incredible! I'm sort of a makeup addict, I've tried hundreds of lipsticks in my day and this formula really is something unique. It's matte but not drying, it stays on for hours and it just makes your lips look amazing, fuller. They feel almost like a powdery gel? It's hard to describe, but extremely comfortable. Even the applicator is nice, it comes to a point so you can get a nice crisp line. I can't say enough good things about these! I have a nude and a dark shade and they are both great!",10 Nov 2024,INCREDIBLE!,SarahR3487,Anastasia,Lip,No
"I love these lipsticks. I purchased Amber peach and Parchment color. My God, formula is amazing and your lips look fuller. These two colors are really good on my light medium skin tone. looking forward to purchasing these again and again. May try more colors but absolutely love Amber peach and Parchment color 😍💕.",9 Nov 2024,Must have these in my routine...,punjabigirl,Anastasia,Lip,No
"Such a great matte lip! I own almost every shade and am not mad about it. They feel amazing, last a decent amount of time and make your lips look full and smooth!",7 Nov 2024,Worth the hype!,Shell987,Anastasia,Lip,No
Love the feel of this lipstick and it lasts for hours,4 Nov 2024,Love love,Leilani19rp19,Anastasia,Lip,No
I absolutely love this lipstick! I love the way it feels on my lips. I wish they had a red shade.,3 Nov 2024,A must have!!!!,laherz,Anastasia,Lip,No
