ReviewText,Date,Title,UserID,Brand,Product,CelebrityBranded
Omg this product must have been blessed by god himself! Absolutely stunning!!!! Lovely texture and consistency every time. Made my lashes look like im wearing extensions even had people ask where i went to get them done!,02 Feb 2025,Best mascara ever!!,becker41,Anastasia,Mascara,No
"This is one of my favorite mascaras for sure. The shape of the brush is perfect for getting those small lower lashes without getting it all over the under eye area, while giving good volume and coverage for the top lashes, too. There is a little bit of a learning curve to use this one compared to some other brush types to avoid clumping, but it is not difficult to do at all. Once you get the technique down, your lashes will always look bomb! Highly recommend; you will get complimented on your lash game with this for sure.",5 Jan 2025,Favorite!,SwankieTiger,Anastasia,Mascara,No
Best mascara on the market! Coats eyelashes generously,5 Aug 2024,,Nvllv,Anastasia,Mascara,No
"I tried to give this mascara the benefit of the doubt, but it was beyond disappointing. I cleaned the brush more than once, but the clumping did not go away. Every application was clumpy, uneven, and flaky. I love Anastasia brow products but I'll steer clear of mascara from now on!",30 Jun 2024,Beyond Disappointing,ceo73,Anastasia,Mascara,No
I received a sample of this and eventually bought the full size because it's the best mascara I've ever used. it makes my lashes long and voluminous without any dryness or clumping.,26 Jun 2024,The best mascara I've ever used,juliabeauty,Anastasia,Mascara,No
"Honestly LOVE this mascara.  Only missing one start because I need it to be in BROWN! Anastasia, can we make this happen please?!?!?",24 Jun 2024,"Great, NEED it on Brown!",Scarlett711,Anastasia,Mascara,No
"I do not even NEED to use a curler! These hold my lashes and make them look flawless with just a few coats. The wand is kind of like an hourglass shape so it is very easy to work with, giving you a lift without the curler",23 Jun 2024,MY EYELASHES OMGGGGGG,123Unicorn,Anastasia,Mascara,No
"The best one ever ! 
It’s been many years I’ve been buying this and any time I switched the brand I got regretted !",8 Jun 2024,Definitely worth it,shamime,Anastasia,Mascara,No
"I purchased this product online and when I received and opened it, it was fully dried! It is so frustrating! As I didn't have enough time to go and buy it from the store, I bought it online, but it is of terrible quality!",6 Jun 2024,Fully Dried Mascara once I opened it!,Ninacc,Anastasia,Mascara,No
"Very nice travel size mascara, creating natural look and adding volume",31 May 2024,,Mariia33,Anastasia,Mascara,No
"After using this product over the past three months, I have loved the results it has brought to my lashes. When I have this mascara on it darkens my lashes and lifts them up, makes them super full and it lasts all day.",22 May 2024,A must have mascara!,sophS19,Anastasia,Mascara,No
"bought this back in march, haven’t touched it since. the mascara itself is super dry during appliance and the wand is somewhat heavy making thorough application hard. it’s not the worst thing ever but there are better mascaras out there that are actually worth 24 dollars. would return if i could 😞",16 May 2024,,radiohead,Anastasia,Mascara,No
"I have been using this mascara since high school from 2015 till today , it lasts all day and makes my lashes very long and I always get compliments on it and tells my friends and family about it and they all love it! purchase it",11 May 2024,Best mascara you can ever find as a makeup artist,shemoo,Anastasia,Mascara,No
"I wanted to love this product. The packaging is stunning. The brush is also fantastic. 

But, I didn’t it crumbled leaving black dust through out the day. Not sure why but it wasn’t for me.",24 Apr 2024,Black eyes by 11 am no thanks,mere86,Anastasia,Mascara,No
"Before I even left the house, I felt something flake into my eye. I looked into the mirror and was horrified to see that my upper lashes had ""stamped"" mascara onto the skin underneath my eye. I didn't even get out the door before this mascara failed. The formula applied beautifully but the staying power is atrocious.",24 Apr 2024,Smears & Flakes,stellasmommy04,Anastasia,Mascara,No
This is a good product if you have thick easy to curl lashes. I use the Lancôme primer and it really helps. Would not recommend for people whose lashes don’t easily curl or hold shape.,16 Apr 2024,Pretty Good,MelisaCatic,Anastasia,Mascara,No
"Love how full and thick it makes my lashes look, but leaves flakes all over my face throughout the day:(",4 Apr 2024,Volumizing but Flaky,Silviaball,Anastasia,Mascara,No
"After using this product for the past few weeks, I love the way it goes on and looks, but day after day, it ended up under my eyes!  I tried all other things, but this was it, so to trash it goes 🙁",24 Mar 2024,Left me with black under eyes!,AvlEMC,Anastasia,Mascara,No
"If you enjoy wearing your mascara on your face and not your lashes, this is the perfect mascara for you. If you prefer it to stay on your lashes, don’t buy this.",18 Mar 2024,Awful at best.,marneighneigh,Anastasia,Mascara,No
"I wish I would've listened to some reviews.
beautiful when put on.
but within an hour it flakes off and smudges.",1 Mar 2024,flakey,Ashlee032,Anastasia,Mascara,No
"Provides bold, yet natural looking lashes with good depth of color",27 Feb 2024,Easy peasy,curlymom3,Anastasia,Mascara,No
Flakes easily and the results are nothing special. I would not purchase it again.,20 Feb 2024,,ktbug420,Anastasia,Mascara,No
I love this mascara so much. This is my second one. I love the way it makes my lashes look so much longer ￼,5 Feb 2024,,Brianna16180,Anastasia,Mascara,No
"This mascara looks beautiful when you first apply it. However, it flakes and smudges all over the place during the day!! Save your money on this. The time I wore this mascara, by the time I got home my eyes looked like a raccoon…",4 Feb 2024,Save your coin,jessip2000,Anastasia,Mascara,No
IT WORKS SO NICELY LIKE I CAN DO A SO MANY STYLES WITH JUST THIS I LOVE IT ‼️,1 Feb 2024,I LOVE THIS CRAP,Hadleywend,Anastasia,Mascara,No
my favorite mascara! beautiful and lightweight. I get compliments on this product every time I use it!,27 Jan 2024,best mascara,Amber1202,Anastasia,Mascara,No
"This mascara goes on beautifully, it’s lengthening and volumizing but unfortunately flakes a lot after only about 2 hours of wear",20 Jan 2024,Pretty but flakes,claireisrare,Anastasia,Mascara,No
"I've been trying many many mascaras and none of them work as well as Anastasia's. Do to medical issues, my lashes have thinned and are almost nonexistent...with this it fans out my lashes beautifully, lenghens them, no clumping and does NOT deposit a bunch of product on my lash line, like other brand names do, just making it look like black footballer eyes!! i buy the smaller size to keep my product fresher ( and cuz im shopping around for the best one). I love that it dries quicker than most, so i can continue with the rest of my makeup w/o worrying about smearing my mascara. Flakes? hmm ill have to see, i know 1 of my smaller sized i dont remember the brand had flakes but it was waterproof, ill update if this has flake issues as i just ordered another one. 4 stars because it only comes in black. i wish more brands would bring back brown mascara.",18 Jan 2024,Fans n lengthens my thin lashes!,stacy49254,Anastasia,Mascara,No
"Wanted to buy a mini to see if I liked it, and I loveeeee this mascara. Definitely lengthening and volumizing. Will definitely be buying the full size product.",11 Jan 2024,Love,emilyerin11,Anastasia,Mascara,No
"Flakes way too much and doesnt even hold my curls in place after putting multiple layers! And it dries it very fast.
Not a favorite.",22 Nov 2023,Flakes too much,Annec123,Anastasia,Mascara,No
"This one was hard for me. I love this brand. However, when you get the mascara it is clumpy and just real cake like. However, after about 6 uses, it is exactly the texture it needs to be. And my eyelashes look great. In fact when I use it I use a favorite brush from another brand and comb out the product to make it look more natural. I think I will buy again knowing i need to use two brushes.",6 Nov 2023,,eestarn,Anastasia,Mascara,No
"Lots of fall out, I liked the sample a lot more but once I bought it I changed my mind. For some reason it seems like the mascara dries out fast in the bottle and the fall out has gotten worse.",31 Oct 2023,,cehayes,Anastasia,Mascara,No
It is cheap and works very well. loved this mascara 10/10,18 Oct 2023,Mast have,Ririxo13,Anastasia,Mascara,No
"I got this as a sample one time and really liked it, so I purchased the mini size when I ran out. This time it’s not as good and is super clumpy. I have to redo all my eye makeup when I use it. Wouldn’t buy again.",17 Oct 2023,Clumpy,bellahhhh,Anastasia,Mascara,No
"Too much fallout, left me with raccoon eyes every single time🥲",13 Sep 2023,"ur not bad at makeup, ur bad at choosing products",itsstephaceves,Anastasia,Mascara,No
I hate that I look like a raccoon after a couple of hours of applying it. I literally threw it away to the bin. Do not recommend at all!,12 Sep 2023,The worst,tanriver,Anastasia,Mascara,No
"Worst mascara. Very clumpy. Wiped off wand even, applied, mascara flaked, just a mess of a product. So disappointed considering the price and brand name.",7 Sep 2023,Waste of money,mollymolly1,Anastasia,Mascara,No
this is my favorite mascara ever. it lengthens and makes my eyelashes fuller,5 Sep 2023,yes yes yes,moooooooooooo,Anastasia,Mascara,No
