Title,UserID,ReviewText,Date,Brand,Product,CelebrityBranded
Love love love,CookieAnne,Love this lip oil! Very hydrating and the watermelon scent isn’t too over powering. I got both the watermelon and the cherry and I actually prefer the watermelon,05 Feb 2025,Fenty Beauty,Lip,Yes
,morgansaffelle,This is one of the best lip oils I have used in a long time! It does a phenomenal job of hydrating my lips. 💕,05 Feb 2025,Fenty Beauty,Lip,Yes
The best lip gloss,LizzoRizzo,This is the best lip gloss I have ever had it is a must you need it!,03 Feb 2025,Fenty Beauty,Lip,Yes
Fruity Lip Gloss from Early 2000s,JennElise7,"This product reminds me of the fruity lip glosses that you’d find in Marshall’s back in the early 2000s but in the best way. It’s got that “artificial” fruity smell without being nauseatingly artificial. It’s got that thick, glossy, juicy formula. It is not a thin lip oil at all but that’s Fenty lippies for you, they are juicy and glossy. It’s got really sheer pigment, sheer to the point where it looks clear, in my opinion. It’s definitely moisturizing and lasts hours because of how thick it is. Took one star off just because I’m not a fan of sticky formulas.",03 Feb 2025,Fenty Beauty,Lip,Yes
Good but bad packaging,Lilypad13,"I like the product a lot but Fenty needs to work on packaging. I have several lip products that ""fell apart"" shortly after I got it. The twist off cracked so I have to remove that and a permanently greasy twist off that should be glued to the 1st.",31 Jan 2025,Fenty Beauty,Lip,Yes
I need the whole line,,"It applies so smoothly, it smells AMAZING. I need the whole line now .Its my new everyday & night lip oil.Amd its stays on longer that 30 mins like other brands ive tried . It looks like lipgloss on which is a + . Cute and jearlipz .",30 Jan 2025,Fenty Beauty,Lip,Yes
Disappointed 🥹,FlyHigh0160,"I was really excited to try the Fenty Cherry Lip Oil, but it didn’t live up to the hype. I expected a thin, hydrating consistency, but it turned out to be quite thick—more like a 90s beauty store roll-on lip gloss. While it’s not sticky and smells nice, it’s definitely not what I’d consider a true lip oil. It didn’t provide the moisturizing or hydrating effects I was hoping for and actually left my lips feeling dry once it wore off. Considering the price, I found it misleading and overpriced.",28 Jan 2025,Fenty Beauty,Lip,Yes
,kristina1110,"I just received my package, and half of the oil spilled. I’m very upset.",28 Jan 2025,Fenty Beauty,Lip,Yes
Amazing,shaneyandnelly,This is AMAZING I love the color. I wanted this SO bad and it was up my expectations.way better it smells so good and now I want all of them,27 Jan 2025,Fenty Beauty,Lip,Yes
,TaneshaB,I love any lip oil by Rihanna the smell of this is great and this last a good much of the day,17 Jan 2025,Fenty Beauty,Lip,Yes
Would buy again,Keannac,Smells great and makes my lips feel so soft without feeling sticky,17 Jan 2025,Fenty Beauty,Lip,Yes
ABSOLUTELY LOVE!!!,Oliviaaai,"I have been using this product since the beginning of 2024 and I must say that this product has yet to fail me!! I bought it in the Cherry treats and then repurchased it in Black cherry. It has a silky, finish.moisturizing",14 Jan 2025,Fenty Beauty,Lip,Yes
,M4rjorie15,I highly recommend buying the cherry lip oil by fenty beauty. It keeps your lips moist and soft and this lip oil smells so good 🥰🥰.,13 Jan 2025,Fenty Beauty,Lip,Yes
Great for everyone,atumn,After buying this product it hydrated my lips and it wasn’t sticky like some others,13 Jan 2025,Fenty Beauty,Lip,Yes
Good lip oil,corinathebean,A little sticky and too thick for my liking but it smells good and the color is cute,13 Jan 2025,Fenty Beauty,Lip,Yes
Love!,jazminnnnnnnnnn,Super juicy & hydrating! I love it. I love the big applicator. Please never get rid of this lip oil,12 Jan 2025,Fenty Beauty,Lip,Yes
,Gerland,It’s really not hydrating. It smells good. Not good for a lip balm.,10 Jan 2025,Fenty Beauty,Lip,Yes
Lasts forever,Valefer611,"This lip oil is amazing, the texture is quite thick but it a nice way that will make your lips extremely glossy and not in the way that you feel as if you had honey on them. And the best part is that it lasts forever I put it on my lips and after an hour of wearing it I don’t have to reapply. I love it!!!",6 Jan 2025,Fenty Beauty,Lip,Yes
Best lip oil ever.,kinleyhenn,I love this product sooooo much. It is super long lasting and smells so good. Also makes your lips super glossy without stickyness.,5 Jan 2025,Fenty Beauty,Lip,Yes
,aliii04,Love love love. Recommend 100%. I’ve never forgone through a lip product fasted. The only thing is the lid came dectached from the doe foot but definitely could’ve just been a me problem.,4 Jan 2025,Fenty Beauty,Lip,Yes
,sephorafavi,This is just soooo good like it heals my lips. I will have to say though packaging has to be fixed bc the cap comes right off and leaves stickiness due to the glue. Maybe it changed but overall very good.,3 Jan 2025,Fenty Beauty,Lip,Yes
,morganvarney,"My favorite lip oil, so moisturizing and has the best glow!",2 Jan 2025,Fenty Beauty,Lip,Yes
My fav lippie,carolinexrg,Smells amazing. Not too sticky but stays on your lips. Veryyy hydrating 🤩,2 Jan 2025,Fenty Beauty,Lip,Yes
,happygilmore4,i love this product so much! the scent smells so good! and it is so glossy,31 Dec 2024,Fenty Beauty,Lip,Yes
Little bit in the bottle,skeett37,I love how it feels but it’s alittle bit in the bottle should be more make it worth my money no happy bout that I love fenty but stop putting little bit in the bottles,31 Dec 2024,Fenty Beauty,Lip,Yes
New Staple Item!!!,Rhonet,Love this lip Oil. Not too thick and a little goes a long way. Love the snell and the sheer color! Definitely will be repurchasing!,30 Dec 2024,Fenty Beauty,Lip,Yes
,melissa37543,"OBSESSED, only bad thing is it runs out very fast, but overall amazing",29 Dec 2024,Fenty Beauty,Lip,Yes
great but I had trouble opening product sometimes,Kozzzy,"love the applicator, feels luxury, love the formula. the bottle could be better, sometimes it would get stuck closed and I had a lot of difficulty opening it.",28 Dec 2024,Fenty Beauty,Lip,Yes
,JasmineMyrick,Very hydrating and doesn’t feel sticky at all. I have three and can’t wait to get more!,27 Dec 2024,Fenty Beauty,Lip,Yes
Do Not Buy,Lizzy311,Not a lip oil. Also very drying. Don’t waste your money.,26 Dec 2024,Fenty Beauty,Lip,Yes
,AleCan8,"It looks very glossy and it smells amazing. For me, it doesn’t feel too moisturizing after a while but it’s not a terrible product.",26 Dec 2024,Fenty Beauty,Lip,Yes
,ahona2004,Love the color and smell of the product but it is very sticky definitely is not like oil and is more like a gloss,22 Dec 2024,Fenty Beauty,Lip,Yes
Best,lauraZul,Bought this for my daughter she absolutely loves it!!,18 Dec 2024,Fenty Beauty,Lip,Yes
10/10 Highly recommend!,5Jessm,"After using this lip oil for a few months, I love it! The consistency is great; not too thick. The applicator glides the oil on. It smells amazing and is the only lip products I use everyday. I am at the bottom of the container and I rarely finish a lip product before losing it.",14 Dec 2024,Fenty Beauty,Lip,Yes
Great Lip Oil!!,ashley40444,I really love this lip oil!! It makes my lips so soft!! It stays on my lips for a long time 2!! It also gives my lips a pinkish color!!,11 Dec 2024,Fenty Beauty,Lip,Yes
Must have lip oil,Dashialynette,Purchased this item as a blind buy and I don’t regret It at all as this lip oil keeps my lips hydrated for long periods of time and smells delicious!,9 Dec 2024,Fenty Beauty,Lip,Yes
Best Product Ever!!!,LA2013,Better than Dior. Smooth smells so good. Light colour but shows perfectly,8 Dec 2024,Fenty Beauty,Lip,Yes
want to smother my whole body in it,RootyTooty6,"i’m not exaggerating, this is THE perfect lip oil. not too sticky, not too oily, and not too heavy on the lips. not to mention it smells better than any other lip oil i’ve used. best lip oil!",7 Dec 2024,Fenty Beauty,Lip,Yes
Made me poop my pants,katiethepooch,"Honestly, I love this product but let me tell you the ingredients are sort of mid be cautious.",7 Dec 2024,Fenty Beauty,Lip,Yes
,kyaak,I love this lip oil but the applicator breaks every time I purchase which is very annoying for the price.,6 Dec 2024,Fenty Beauty,Lip,Yes
Stay away form dragon fruit,xoxoAn,"Okay I feel bad for writing this review because I actually love this lip oil so much but this dragon fruit one is actually so bad, it feel so cheap and grainy it doesn’t last long but the cherry oh, shes eats doubt ",4 Dec 2024,Fenty Beauty,Lip,Yes
My favorite lip oil,Lulubestie,"So soft and hydrating! It lasts so long on my lips and isn’t sticky. It has a very light tint, but goes perfect with a lip liner. Definitely recommend!",2 Dec 2024,Fenty Beauty,Lip,Yes
