Title,Date,UserID,ReviewText,Brand,Product,CelebrityBranded
my new obsession,31 Jan 2025,Melissstark,"i rarely write beauty reviews, because sadly i’m rarely impressed. 
so so so impressed. by far the best mascara i’ve ever used!!",Fenty Beauty,Mascara,Yes
4 of 5,30 Jan 2025,lilycavv,"I was super excited to try this product. First application, I loved the wand to apply the product. It didn’t win me over first try, I didn’t like the way my eyelashes looked at first. Then as I continued to apply it after a few days I did seek to like it more and more. It made my eyelashes look full. One thing to note, this mascara is NOT waterproof.",Fenty Beauty,Mascara,Yes
love it,30 Jan 2025,lianamarie1,"I love it, made my lashes look like falsies. Only thing is, it does hold my lashes up but only after I went back in with my lash curler. When its first applied it will weigh your lashes down and you will have to go in and curl them again, if you're looking for something that will hold without having to go back in with your lash curler I don't suggest this for you, but i think it's a good product.",Fenty Beauty,Mascara,Yes
Super nice mascara,30 Jan 2025,burningisis,I really like using this mascara it doesn’t flake off and it gives a good natural thickness. I have used this on both lashes and natural lashes and it is good on both.,Fenty Beauty,Mascara,Yes
Must have!,30 Jan 2025,BrightonSkye,"Makes my lashes fuller, longer, more voluminous. Easy to apply, the wand is fantastic. No gross clumps! My only issue is as a person with light colored eyes I squint and blink a lot and need waterproof to avoid raccoon eyes.",Fenty Beauty,Mascara,Yes
Great mascara,29 Jan 2025,BLynee,"Love this mascara it’s got volume, proper thickness, and color also lasts all day and washes off gently. The one thing about it to love is the super softness!",Fenty Beauty,Mascara,Yes
Great for straight lashes,28 Jan 2025,alambchop,"Great for straight lashes hesitant to curl. I normally have to get waterproof otherwise wetter formulas weight down my lashes, but I like this formula and it’s easy to take off at the end of the day.",Fenty Beauty,Mascara,Yes
,25 Jan 2025,robweezy,I only gave 4 stars because it tends to transfer after application. It has amazing length and volume I was very impressed with the way it separated each lash and it looked beautiful,Fenty Beauty,Mascara,Yes
Little heavy but good,25 Jan 2025,Sassyitgirl,I have long lashes but they are very thin. So any mascara that is heavy makes me look like a raccoon very quickly.  This mascara is a bit on the heavier side but didn’t cause the issue.  I would use it again. I’m a big fan of Rihanna’s product line.,Fenty Beauty,Mascara,Yes
,25 Jan 2025,loreleikitiara,This mascara was good it is super black and makes your eyelashes look really long and full the only problem I had with it was it smudging if I put it on my lower lash line so I just put it on the upper lash line,Fenty Beauty,Mascara,Yes
,25 Jan 2025,BreonnaM,"PERFECTTTTT, gives lashes the best volume that no mascot could ever give. Not runny at all either",Fenty Beauty,Mascara,Yes
Does the job very well!,23 Jan 2025,SCLuv,Lengthens and thickens.  I’d buy it again. Doesn’t clump but you need a good remover to get rid of it.,Fenty Beauty,Mascara,Yes
Hella thicc,23 Jan 2025,StefsOpinion,"Cute and simple packaging. Priced well for a known brand, won't break the bank. Works pretty well, thickens and lengthens lashes nicely. Can be a little clumpy when applying, but if you have a spare clean brush, you can smooth the clumps out. Worth buying if you want hella thic lashes.",Fenty Beauty,Mascara,Yes
,23 Jan 2025,itsmetima,It does the job and is a decent mascara. The better than sex by too faced I find is less dense and tends to keep the lashes curled higher for longer than this one.,Fenty Beauty,Mascara,Yes
best mascara,23 Jan 2025,eastbrunswick,best lash product I have ever used and love my lashes.,Fenty Beauty,Mascara,Yes
,22 Jan 2025,lypham,"Like the size of the brush. Easily coated my lashes in a few swipes without getting all over my eyelids. The formula is very lengthening and volumizing. However, it did bleed on me towards the end of the day.",Fenty Beauty,Mascara,Yes
,22 Jan 2025,cassietayler,"This is one of my new mascaras! I had been on the hunt for a new one and am a fan of this brand so I was very excited to try it out! 
It is very pigmented so I try and apply light layers!",Fenty Beauty,Mascara,Yes
definitely worth buying,21 Jan 2025,itsmelsephora,I got this mascara to try it out and its the best one i own so far it has a lot of product. definitely recommend getting for a gift or for your own. Love itt!,Fenty Beauty,Mascara,Yes
Beautiful mascara,19 Jan 2025,jazzrae23,"I love this mascara it makes my lashes long and really thick without clumping together. My lashes look long and healthy,It’s easy to use and doesn’t get everywhere like a lot of other mascaras. Doesn’t have a smell that’s awful or strong and It last all day without flaking. The packaging is useful as it’s a flat surface rather than round and it’s easier to store. This will be my go to for now on.",Fenty Beauty,Mascara,Yes
Must have,19 Jan 2025,KW04683,"I love how smooth this goes on. Looks great, easy to hold, and maneuver. Really makes your lashes pop. The packaging is eye-catching. I would recommend this product .",Fenty Beauty,Mascara,Yes
Amazing!,18 Jan 2025,Val3231,I received this product from Influenster in exchange for my honest review. This is the first product that I have ever tried from Fenty. As someone who has very straight lashes it is so hard to find a good mascara. This works super well with my lashes I usually curl them with my shiseido eyelash curler then go in with the first coat let it dry curl again and so on with a second coat and omg it does wonders. It makes my eyelashes super nice and voluminous. I love that you can add several coats and it does no clump. This product definitely makes me want to try out more fenty products! So far I am impressed and this is only one product from the line. Can’t wait to try more!,Fenty Beauty,Mascara,Yes
Not my favorite,18 Jan 2025,Aubz91,I do like the formula of this mascara but it’s definitely not my favorite by far.  For the price point I expected much more.  I feel like the brush was too big for me and also it smudged quickly.  That being said it did enhance my lash length and volume.,Fenty Beauty,Mascara,Yes
Not my favorite mascara,18 Jan 2025,JulyPI,"This’s quite a decent mascara, it definitely gives volume and length, I usually curl my eyelashes before and it didn’t weigh them down. It feels on a drier side for me, and I had some fall outs. I used to have Fenty FULL FRONTAL VOLUME, LIFT & CURL MASCARA, and this one I really loved. It was perfect for me, especially how it curled up my lashes.
The Hella Thick isn’t impressive for me, I wouldn’t buy it for myself.",Fenty Beauty,Mascara,Yes
Good but smears if wearing all night,15 Jan 2025,Snemery,"I’ve wanted to try the Fenty brand for awhile so I was really excited about this mascara. Putting it on was nice, smooth not clumpy. Length added was pretty good. I took a picture with one eye done and one not for comparison. It lasted all day and didn’t flake. Only down fall, I don’t always wash my make up off at night, and this mascara smears pretty bad! Not the worst I’ve used, but definitely worst than my regular go-to mascara. I had to use a makeup wipe first thing in the morning where I normally wait and wash my face after coffee. It was also on my pillowcase, which again, isn’t normal for me. If you wash before bed, no problem and good go to!",Fenty Beauty,Mascara,Yes
Worst mascara,14 Jan 2025,Sofi567,"When I came to the shop , the helper convinced me that I wouldn’t look like a panda after using it , but I did  so totally not recommending",Fenty Beauty,Mascara,Yes
Gives volume.,14 Jan 2025,,Brush is thick and fluffy gives volume and length.,Fenty Beauty,Mascara,Yes
,14 Jan 2025,knk0311,This mascara really breathes life into my eyelashes! They’re so long and thick. They’re gorgeous. I love the applicator and the packaging is super cute. I would definitely buy more of this. I received this for free from Influenster and the opinions are my own.,Fenty Beauty,Mascara,Yes
A fantastic mascara!,12 Jan 2025,AnnHannah,"Fantastic mascara, from someone who is very picky! I seldom find mascaras that I feel work with my eyelashes and don’t get clumpy or look like spider legs. I like a thin but elongating coat and this is perfect for that! I prefer a different applicator usually but this works very well!",Fenty Beauty,Mascara,Yes
Fab Fenty,12 Jan 2025,egonza78,"This is probably the best mascara I’ve ever had. It adds volume, thickens, and makes my lashes longer. Loved the black tint and easy application. Packaging was clean and easy to read. I love it!! Definitely worth the price and a great product. I would recommend it.",Fenty Beauty,Mascara,Yes
