Title,ReviewText,UserID,Date,Brand,Product,CelebrityBranded
,"The color is flattering, but the product is poor quality, the applicator head fell off after one use and it doesn’t keep the lips hydrated for very long",ShadowCP,30 Jan 2025,HausLabs,Lip,Yes
,i love this product so much! gives my lips the beautiful shine and a tint that lasts basically a stain while moisturizing!  wish it wasn’t so pricey but i do like it! second time buying and will buy again,Jennied68,17 Jan 2025,HausLabs,Lip,Yes
DRY,Got this on an impulse buy and it wasn’t worth it. Wish I would have gotten the mini to try bc this makes my lips so DRY. It’s a shame because it is pretty on the lips. I now put Vaseline on first it kinda helps,DanaAlexis,17 Jan 2025,HausLabs,Lip,Yes
Great!,"Maybe overpriced, but it leaves the feel I was looking for not drying after use.",penhtl,16 Jan 2025,HausLabs,Lip,Yes
Nice shade but formula/packaging needs work,"Applicator is tiny + almost all lip oil comes off before it’s out of the bottle = putting it on takes forever. Dries my lips, kinda sticky, and comes off in big flakes. Also this weird stuff growing in it now.",EGJRon,13 Jan 2025,HausLabs,Lip,Yes
Holy grail,I absolutely love this lip oil. It is so hydrating and I barely have to re-apply because the color and hydration lasts SOO long!! I’ve had 2 already.,JulieWawa,2 Jan 2025,HausLabs,Lip,Yes
,"I love this product, and it really compliments my skin color.",lipglosslover2,27 Dec 2024,HausLabs,Lip,Yes
Allergic Reaction,Never had an allergic reaction to anything beauty product related except this lip oil. My lips broke out in itchy painful pustules. One of the worst experiences I’ve had. Had to go to urgent care with was so bad!,braAa24,26 Dec 2024,HausLabs,Lip,Yes
get the full size,if you are thinking about getting the mimi just get the full size it is worth it!,bmw04,25 Dec 2024,HausLabs,Lip,Yes
It’s an okay product,The pigment almost separates from the base and settles at the bottom and I really struggled to mix the pigment together. It is not hydrating as Dior lip oil and makes my lips crusty. It’s just an okay product and i would never repurchase again.,kushalini,25 Dec 2024,HausLabs,Lip,Yes
Best lip oil I've tried,My literal FAVOURITE. Nothing I have tried compares. The texture is so nice and not sticky at all. It has a bit of a tint too so the colour stays after the shine/gloss wears off. So pretty.,willowcasper,24 Dec 2024,HausLabs,Lip,Yes
Shimmer!,She’s is shiny! love the way it feels and it lasts a loooong time!,Saint4ddie,21 Dec 2024,HausLabs,Lip,Yes
Obsessed!,Obsessed and buy over and over again!!! I love this lip oil,,16 Dec 2024,HausLabs,Lip,Yes
Just okay…,"The color is nice… but the applicator is very skinny so if you have plumper/fuller lips then you’ll be annoyed. Personally, I’d spend the extra $12 to get the Dior one. No matter how many times I try to find it cheaper dupe - never works out.",Dasia926,15 Dec 2024,HausLabs,Lip,Yes
Not worth it,I think this oil actually pulls moisture out of my lips. It creates a layer of skin on my lips that just about falls off on it own. I would never repurchase this product.,tessnelson,14 Dec 2024,HausLabs,Lip,Yes
