Title,UserID,ReviewText,Date,Brand,Product,CelebrityBranded
Clumpy,amnellen,"Not great. I noticed small clumps when I first started using it but they were small so I could work them out. But it's just gotten worse and I've only had it open for maybe two weeks. I'm disappointed and won't be repurchasing. With that said, when I get the clumps out I do like how light this feels on my lashes and how they look. But the clumps will keep me from purchasing again. Such a bummer",05 Feb 2025,HausLabs,Mascara,Yes
It's a basic mascara,itsmykingdom,"The packaging is sleek, and I appreciate that the mascara didn’t smudge or run throughout the day. However, beyond that, it felt pretty basic. I've been using it for about a week, and while I can't speak to any long-term lash benefits, it didn’t do much for my lashes in terms of volume or length.

It’s not a bad product—it performs like any standard mascara—but it lacks the wow factor I'd expect at this price point. Honestly, I’ve found drugstore mascaras that deliver better results for less. If you're considering buying this, I’d recommend thinking twice. Chances are, whatever mascara you’re currently using does just as much, if not more.

If you're a big supporter of the brand, I get it—but if you’re just curious, save your money.",05 Feb 2025,HausLabs,Mascara,Yes
Amazing mascara. New favourite.,Mandster,Coats every lash. Super black. Easy to remove. Love!,05 Feb 2025,HausLabs,Mascara,Yes
zero stars - it give nothing but flakes,Mio01,"I bought the sample size with my points. The brush gets clumped up with the product. At first, it looks good, but within 5 minutes, the curl in my lashes is gone. without it, my lashes stayed curled on their own. within two hours of wear, it's like you never even put o mascara, and it's all flaked onto your face.",05 Feb 2025,HausLabs,Mascara,Yes
,lunatickx0,Amazing!!! Does wonders for my tiny baby lashes ! & SUPER black,05 Feb 2025,HausLabs,Mascara,Yes
Disappointing,lili221,"This was so disappointing! There was so much hype online about the mascara, and I couldn’t wait to get my hands on it. It did absolutely nothing for my lashes and I ended up returning it. :(",05 Feb 2025,HausLabs,Mascara,Yes
,dulc3mi3l,"I love it, it doesn't fall out, my eyelashes look voluminous.",04 Feb 2025,HausLabs,Mascara,Yes
Raccoon eyes!,soakes,I was shocked at how poorly this performed. I don’t use mascara on my bottom lashes and I’ve never had a mascara transfer and flake onto my under eyes. I applied as I normally do and within a couple hours my under eyes were blackened,04 Feb 2025,HausLabs,Mascara,Yes
,BBLor,"Lengthened and added volume, really pretty mascara!
Didn't flake or clump for me, but I didn't over-apply it.",04 Feb 2025,HausLabs,Mascara,Yes
Nothing special,Oli0402,"Used this a couple of times and didn’t notice anything special about my lashes. I will be returning. Didn’t lengthen or give any volume, drug store mascara is way better!",04 Feb 2025,HausLabs,Mascara,Yes
