Title,Date,ReviewText,UserID,Brand,Product,CelebrityBranded
Way better glosses out there!,05 Feb 2025,The color and shimmer is very pretty. However it settles into all the lines on your lips. I don’t even have a lot of lines and it accentuated them a lot. It also separates when you rub your lips together. The color ends up looking streaky,kaykayrins,Huda Beauty,Lip,No
,05 Feb 2025,"Beautiful shade, smells great, and feels so good on my lips. Treat yourself!",stardustkeeper,Huda Beauty,Lip,No
,04 Feb 2025,Makes my lips look so pink! I recommend moisturizing your lips a bit before applying this to not get the wrinkles,kayseqay,Huda Beauty,Lip,No
Not for me,02 Feb 2025,"I didn’t like it, it was just clear for me. I was so disappointed 😔",Shanios,Huda Beauty,Lip,No
Thick but perfect,02 Feb 2025,"This product is so pretty and a little bit thick,if you want a long lasting gloss recommend this",aabbaszaade,Huda Beauty,Lip,No
Pretty colorrr,31 Jan 2025,This lip gloss immediately chaps and dries out my lips like CRAZY and sinks into every line but honestly the color is so pretty and I’m obsessed with it so I will keep using it. The only thing that sucks is I can only use it once through the day otherwise my lips get extremely crusty,selinie,Huda Beauty,Lip,No
The perfect milky pink.,30 Jan 2025,Giving NARS Turkish Delight! Beautiful color by itself or over a lipstick. Not sticky and lasts for hours. I hope this shade is here to stay!,SarahMarie389,Huda Beauty,Lip,No
ok,30 Jan 2025,itsssssssssssssssss veryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy veryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy GOOD!!!!!!!!!!!!!!!!!!!!!!! smell deliciuosss!,JulianaAude,Huda Beauty,Lip,No
A must try!,30 Jan 2025,This was my first time trying faux filler gloss and I love how it goes on my lips nice and smooth. It doesn’t have a sticky residue and last a long while. It’s a soft pick with a high gloss. I highly recommend trying it.,JacquelynPasq,Huda Beauty,Lip,No
Great shimmer,30 Jan 2025,"This gloss is amazing. It is not heavy at all and goes on so smooth. I usually don't like how glosses feel sometimes. This does not leave your lips gooey, and the sheen is just perfect. Just enough shimmer. Seems to last a long time too.",josepcan,Huda Beauty,Lip,No
,30 Jan 2025,I received the Ube Faux Filler Lip Gloss from Huda Beauty and immediately fell in love! I usually avoid lip glosses because I hate how sticky they are but this wasn’t sticky at all it was more creamy but still extremely shiny and left my lips feeling moisturized.,jdasilva,Huda Beauty,Lip,No
,30 Jan 2025,I absolutely love this lip gloss. It feels amazing on my lips. It looks stunning and so shiny. I definitely think this is one of the best lip products I have ever used. I think it also moisturizes my lips.,cassszzz,Huda Beauty,Lip,No
My new obsession!,30 Jan 2025,"This lip gloss is my new obsession! It’s so buttery and smooth with a high shine finish. It leaves my lips feeling so moisturized without being extremely thick on my lips. It stays on for a while without having to reapply which I really love. The scent is light and sweet and smells really nice. Im also a huge fan of the applicator because it’s soft, unique and gets the perfect amount of product on your lips. highly recommend this lip product!",NinaLizette333,Huda Beauty,Lip,No
"LOVE, LOVE, LOVE!!",30 Jan 2025,"I love absolutely everything about this gloss!! The baby pink/lilac shade is absolute perfection! I love pairing it with a cool tone brown lipliner. The formula of the lipgloss is very hydrating, smooth and not sticky at all. Highly recommend!!",Melilg,Huda Beauty,Lip,No
The prettiest gloss!,30 Jan 2025,"I wasn’t sure if I was going to like this gloss because i’m not much of a gloss girl, but this definitely changed the game for me! It has a thick layer but it’s not sticky thick, almost like creamy. It has such a beautiful shine & amazing color payoff. Definietly recommend if you’ve been eyeing!",karissako,Huda Beauty,Lip,No
,30 Jan 2025,Such a cute gloss . It’s pink with some shimmer . It’s easy to apply but does have some color .  Gives a little plump but it doesn’t hurt like a lot of plumping  lip glosses .   Has a small amount of shimmer as well,Emmylion,Huda Beauty,Lip,No
Awesome product,30 Jan 2025,"The Huda Beauty Faux Filler Gloss in the shade “UBE” is definitely a showstopper! That electric lilac shade with subtle hints makes it feel playful yet chic, perfect for someone who loves to experiment with bold colors while still keeping it sophisticated. It’s the kind of gloss that would make you feel confident, like you’re ready to take on the world, while adding that extra pop of shine to your look. The sleek, modern packaging is very Huda Beauty—luxurious but approachable. This gloss seems like it could work well on its own for a fresh, dewy vibe or layered over a lipstick to add some dimension. It’s disappointing to see that it’s sold out (no surprise, considering how stunning it looks), but that just speaks to how much people love it! If you’re someone who enjoys trying out unique colors or stepping out of your comfort zone, this gloss sounds like a perfect match",ThiLuu,Huda Beauty,Lip,No
Perfect shade of pink!,30 Jan 2025,"I love this lipgloss the shade is gorgeous and perfectly pigmented, it feels amazing on my lips so nourishing, super shiny and never sticky or tacky and has great longevity. I did not a definite plumping effect but I have small lips so I think it may work better on someone with fuller lips but it does fill out my fine lines and offer a nice blurring effect giving my lips a more youthful appearance which I absolutely love! The packaging is nice I love that it’s clear so you can see exactly how much is left and the applicator is a very pointed doe foot which allows for perfect application. It does have a fragrance which to me smells like powdered sugar which I really love but if you don’t like scented products you may not appreciate it. All in all I am very impressed with this lipgloss and it has quickly become part of my everyday look.",HelenKsenia,Huda Beauty,Lip,No
Beautiful lip gloss!,30 Jan 2025,"I absolutely love this lip gloss! The milky lilac shade is perfect—subtle yet unique, and it gives my lips a soft, blurred effect with the prettiest jelly-like shine. The formula feels super nourishing, thanks to the vegan collagen and vitamin E, and it keeps my lips smooth and hydrated. Plus, the doe-foot applicator makes it so easy to apply. And  Definitely a new favorite!",Valerylalary,Huda Beauty,Lip,No
So pretty,30 Jan 2025,"I am obsessed with everything about this gloss! The color is absolutely stunning! A baby pink kind of lilac-ish color, very cutesy! I love the feel of it, it's very smooth and not sticky and it's hydrating too! It glides on smooth, leaves a nice bit of color and doesn't crease. I'm really just obsessed with the color tho, it's gorgeous!!",SusRay,Huda Beauty,Lip,No
,30 Jan 2025,"This gloss is beautiful, love the shade and the nice and finish. It's a good addition to my makeup products.  I like how beautiful my lips look and how comfortable it feels, not sticky or greasy.",chapitagt,Huda Beauty,Lip,No
Beautiful,30 Jan 2025,"I have used Huda glosses before and this new shade doesn't disappoint. It is a beautiful shade, it has a nice consistency that glides nicely on my lips, making it so easy to apply. It doesn't feel greasy or tacky, it keeps my lips moisturized and looking pretty.",irisrubi,Huda Beauty,Lip,No
Best filler gloss,30 Jan 2025,One of the best lip gloss I have ever tried before! I love the filler effect that gives it to your lips. It’s not sticky and for me that is a plus! If you are looking for the perfect filler gloss this is the one you need.,lizjuliane,Huda Beauty,Lip,No
Formula,30 Jan 2025,"The shade ""Coco"" formula is not the best, it sits in my lip lines, is really grainy and does not blend well. I will be returning this shade, the other shade I have (posh) is the best.",Hinnii,Huda Beauty,Lip,No
Blur Fine Lines Indeed,29 Jan 2025,"I really love this lipgloss! Since, I am aging now; I struggle with fine lines around my lips and this indeed blur my fine lines. Not only does this blur fine lines but it's oh so hydrating. I love that it has collagen in it and it's vegan. Overall, a great lipgloss!",Cammie1127,Huda Beauty,Lip,No
Loved this formula.,29 Jan 2025,"This lipstick by huda beauty is crazy insane. I have never felt a lipstick so soft, it literally felt like butter. Although I was not crazy about the color at all I still really loved the product. I’m going to try a new shade!",lexyyyyy,Huda Beauty,Lip,No
Gorgeous!,29 Jan 2025,"This gloss is absolutely gorgeous! I know when you think Ube you think purple, but UUU-Baby is the most beautiful sheer, cool-toned baby pink you’ve ever seen! The formula is thick and hydrating without being goopy or sticky and it definitely gives a plumping effect to the lips. I’m in love!",hollieb,Huda Beauty,Lip,No
