ReviewText,Date,Title,UserID,Brand,Product,CelebrityBranded
Amazing. I bought this on a trip bc the mascara I brought with me dried out and it made my lashes look insanely long and voluminous. So gorgeous with just one or two layers.,03 Feb 2025,,Sara2486,Huda Mascara,Mascara,No
"Very nice product, looks beautiful but very small amount for a full size product at full.price. The tube is deceiving because it looks big, but most of it is the brush. Just wish there was a little more product for the price.",02 Feb 2025,"Nice, but small",DanceMom4Lyfe,Huda Mascara,Mascara,No
I wasn't as thrilled with the mascara as I wanted to be. On my lashes I didn't find one end did more than the other and using both together as suggested left my eyelashes feeling clumpy. The mascara is expensive too and I purchased the mini size. If I'm going to shell out over $20 for mascara I'll do it for another brand.,30 Jan 2025,Not my favorite mascara,CallmePrissy,Huda Mascara,Mascara,No
"Honestly I just got this cuz I saw it on TikTok and decided to see what was so special about it but after trying it. It’s just a mid mascara, it’s not bad but it’s just not worth the 25$ since I could’ve gotten a way bigger one for less than this price and it’s also so tiny.   price",29 Jan 2025,Mascara,Glamera,Huda Mascara,Mascara,No
literally the best mascara ever i use the length side for the first coat then the volume side then for the last coat the length side and omg my lashes stay up all day and are SO long,28 Jan 2025,holy grail,chelsea000900,Huda Mascara,Mascara,No
"After using this mascara for the past couple weeks, it has made my lashes look so volumized and long! This is a great product!",26 Jan 2025,Best mascara!!,Islaskye,Huda Mascara,Mascara,No
"I ordered this after reading some nice reviews, but mine came in all dry. The size is too small, too. Don't purchase.",13 Jan 2025,don't waste your money,maleeb123,Huda Mascara,Mascara,No
This is the best mascara I have ever used. It makes me lashes a lot longer and curls them.,1 Jan 2025,Best mascara,SSS333,Huda Mascara,Mascara,No
"I love this mascara I use the volumizing part for my bottom lashes, and both parts for my top lashes. it bleeds a little, but I have that problem with all my lashes because they touch the top of my eyelids. definitely one of the best mascaras I’ve tried, I use it every day and I would buy it againnn huda beauty never disappoints.",1 Jan 2025,holy grail!!!,kayleechav,Huda Mascara,Mascara,No
"I absolutely love this mascara it lengths and volumizes my lashes, it even stays on when taking a nap.  I will say I only bought the travel size to try so I will be buying the full size .",31 Dec 2024,Volumizing and lengthening,atritt,Huda Mascara,Mascara,No
It has been my go-to mascara for a night out for YEARS. No matter what side you use it is perfect. It might not be your cup of tea if you want it to be more natural or like barely there because it can clump but not that badly. I love the thickness and darkness it gives. the only thing I don’t love is that it kind of gives raccoon eyes by the end of the night.,22 Dec 2024,Perfect glamour and bombshell mascara!,zoebbb,Huda Mascara,Mascara,No
Favorite Mascara This year. I love how I can switch up the look with what side I apply and how many coats. Long lasting and easy to use.,18 Dec 2024,,Breemoneey,Huda Mascara,Mascara,No
"Ok so I got the sample and can confirm that it actually did come dried out and was not usable... kinda my fault because I saw the bad reviews and thought ""couldn't happen to me""... it did in fact happen to me",17 Dec 2024,,ceeceeaeven,Huda Mascara,Mascara,No
"Ive had this mascara for around a year, it lasts so long. Every time I wear it I get complimented on my lashes and I’ve had people mistaken my lashes with falsies! Love this mascara, so much!",9 Dec 2024,Always get complimented!,saphiaali,Huda Mascara,Mascara,No
"Right eye is just one coat of thin brush lengthening I am so in love, easy to remove, and also compare with left eye, which is another mascara. Hands down for this mascara! I can’t imagen how good it will be when I get to do the hole combo together.",23 Nov 2024,You must buy ! 👌🏻,LesslieG,Huda Mascara,Mascara,No
is amazing. It is distinctive and lasts for a long time.,7 Oct 2024,"Since I used it, I have not used anything else.",Dolyana,Huda Mascara,Mascara,No
I got the sample and it was completely dried up I couldn’t even use it,30 Sep 2024,Nope,PineapplePerson,Huda Mascara,Mascara,No
"dry sample,  looks like they packed the brushes and forgot to fill the mascara,  couldn't try it. Do not choose it as a gree sample!",27 Sep 2024,"empty/dry sample, chosen twice,  both times empty",OE8019,Huda Mascara,Mascara,No
"sample completely dry, very disappointing because the brushes looks really good! don't get this free sample!",24 Sep 2024,"dry sample, too bad",rayenff,Huda Mascara,Mascara,No
"The sample was dry, like the other reviews have stated. Don't get the sample!",3 Aug 2024,Bad sample,slevrials,Huda Mascara,Mascara,No
Like many others I received a completely dry sample. Disappointed,10 Jul 2024,Dry sample,AnelAnel,Huda Mascara,Mascara,No
I love the day to night look. I use the less intense side for every day and then both sides at night. Thickness none clumpy got the mini will order full size,3 Jul 2024,,Anetki,Huda Mascara,Mascara,No
"One of the few, from inexpensive to expensive, that I’ve ever had to flake which is NOT good for contact wearers either. It is definitely an EXTREME black, very bold, so keep that in mind when buying.  I’m just glad I only invested in the mini.",1 Jul 2024,,cisea,Huda Mascara,Mascara,No
