Title,ReviewText,UserID,Date,Brand,Product,CelebrityBranded
,My all time favourite lip balm it is actually very hydrating and it stays on for whole day I never reapply it because you dont need to,bhupi,05 Feb 2025,RareBeauty,Lip,Yes
My new favorite lip product,This is my new favorite lip product!!! It goes on so smooth and has just the right amount of color. Great for a neutral floor or full glam over a lip stain. Not leaving the house without it!!!,SenecaGrace,29 Jan 2025,RareBeauty,Lip,Yes
"Hydrating, Beautiful Color, and Practical Design!","I love it! It’s super hydrating, and the color is beautiful. My lips are always dry, but as soon as I apply this product, they feel moisturized, and the coverage is customizable. It doesn’t last all day, but it does last much longer than similar products. Personally, I love the flat side because you can set it down anywhere, and it won’t roll away.",tinicb,28 Jan 2025,RareBeauty,Lip,Yes
,I LOVE IT!!! It was a little darker than expected but I still like it.,cheercat,27 Jan 2025,RareBeauty,Lip,Yes
,love this lip gloss. Beautiful color. But it ran out so fast((,MarynaMore,26 Jan 2025,RareBeauty,Lip,Yes
Adds the perfect tint,I’ve gone through at least 8 of these. These are so good. They’re at the perfect amount of gloss where it’s non sticky and can go great without and with lip liner! this shade matches my lip tone perfectly and adds the perfect amount of tint that it needs,sunnkenrat,24 Jan 2025,RareBeauty,Lip,Yes
Always in my bag!,I love this product so much! It goes so well with my skin tone and it smells lovely and stays for long!,Freedahh11,23 Jan 2025,RareBeauty,Lip,Yes
Must have lip gloss!!!,"This is by far my fav lip gloss! I love the coral color and the texture, it leaves my lips look great and feel great! Only thing I don’t 100% love is the smell, hut that doesn’t bother me! Totally recommend!!!",Brook44308,23 Jan 2025,RareBeauty,Lip,Yes
,"It leaves a soft feeling on the lips, fairly hydrating and lasts long. Nearly Apricot is my favorite shade, but the other ones are just as beautiful- Nearly Apricot gives “your lips but better”. A must have in my purse!",greengnome2569,21 Jan 2025,RareBeauty,Lip,Yes
Beautiful colour,I love the shade! I’m just knocking off a star because it doesn’t last the full day. I still love it and will buy again. It’s my favourite gloss.,AshkeyRose,20 Jan 2025,RareBeauty,Lip,Yes
So pretty,I love this lipgloss it feels so nice on and is such a pretty color. It is also very moisturizing.,Brookesss,16 Jan 2025,RareBeauty,Lip,Yes
A workday hero,"I usually walk out the door with some lipstick on but then I apply this glossy lip balm throughout the work day, usually at least twice. It truly does protect the lips from dryness! I did a lot of research before purchasing a product like this and chose this one initially because the reviews said the packaging doesn't leak. I can confirm: it doesn't! Pretty ~rare~ for lip glosses not to leak. I also really like the Nearly Apricot color, which leans more pink than orange. I'll probably pick up the rose one for summer. Wish there was a red!",DesiWoman,16 Jan 2025,RareBeauty,Lip,Yes
New favorite lipgloss!,Very moisturizing and not sticky. When my lips are dry this is perfect!,jrock7866,15 Jan 2025,RareBeauty,Lip,Yes
Stunning,"Not sticky, beautiful color, soft of the lips. Love it",LCSeph,13 Jan 2025,RareBeauty,Lip,Yes
Perfect Gloss and Hydration in One,"I’m absolutely in love with this glossy lip balm! It’s the perfect balance of hydration and shine. The formula is super smooth, and it glides on effortlessly, giving my lips a gorgeous, natural shine without being too sticky. It keeps my lips moisturized for hours, and I love that it doesn’t feel heavy or greasy. The subtle, glossy finish adds a touch of glamour, making it ideal for both everyday wear and special occasions. Plus, it has a very mild, pleasant scent that I adore. If you're looking for a lip balm that hydrates while providing a lovely glossy look, this is a must-have!",sanskan,10 Jan 2025,RareBeauty,Lip,Yes
ok,"very nice and subtle color, but leaves your lips sticky.",bluejasmine21,08 Jan 2025,RareBeauty,Lip,Yes
,Really nice colour especially for the winter. Sometimes it can be very sticky however it’s a really nice colour,Al7ki9,3 Jan 2025,RareBeauty,Lip,Yes
Everyday,I had a trial of it and ended up buying a full size and I tried another color and both are beautiful! I can’t wait to try more!,chewbeccalove,3 Jan 2025,RareBeauty,Lip,Yes
YOU NEED THIS!!!,"Ok to be honest I am not a big lip gloss girl, however, this stuff is amazing. I truly love this product and the color of it. This product stays on my lips for a long time, even after being at the bar! I would 100% recommend",kkcran04,2 Jan 2025,RareBeauty,Lip,Yes
,It’s nice just a little sticky when I use it. Really nice color and texture.,Sailoredith21,1 Jan 2025,RareBeauty,Lip,Yes
Lovely Berry Shade,"Packaging - I like that this lip gloss doesn’t spill. Also, when dipping and pulling out the wand, the product amount comes perfectly, unlike some lip glosses that absorb too much or too little of the product. For the quantity of the product, I wish there was more of it in the bottle. 

Wear test - I like that the product isn’t too sticky and the colour is visible. Both by itself or layered on top of a lip stick, it works well. This product works throughout the year for multiple occasions. I also like that the Berry shade would look good a variety of skin tones. On the downside, it doesn’t last long so I noticed I would have to re-apply throughout the day. 

Overall, this is a great lip gloss for that subtle but put together look. I have continued to re-purchase this and have gifted to others who also highly recommend.",MissEhs,31 Dec 2024,RareBeauty,Lip,Yes
Very Pretty! I would recommend,"It's a really nice gloss that feels very comfortable on, however it doesn't last very long and the applicator is very odd, I can't get an even layer of the product on my lips without going over them 3-4 times. I love the color and overall one of the better lip glosses on the market!",ellieseph0ra,31 Dec 2024,RareBeauty,Lip,Yes
Run and Grab 👄,When I say “In Love” I mean In Lovveeeee ❤️ I genuinely love how glossy and hydrated my lips look thanks to this gloss. Highly recommend if looking into buying this product!,marrokim,29 Dec 2024,RareBeauty,Lip,Yes
Such a staple,Love this so good color is so pretty and the formula is wonderful it’s buttery and soft and last for so long,izzy12345678,24 Dec 2024,RareBeauty,Lip,Yes
wear everyday,"Love the colour and application, but only lasts a couple of hours. I own 3 and will buy more!",vbingr,23 Dec 2024,RareBeauty,Lip,Yes
Repeat purchase,This is my go-to lipgloss. I wear it alone or on top of a lip color. It doesn't dry out my lips either which is a win! Highly recommend trying this,Therese11,16 Dec 2024,RareBeauty,Lip,Yes
All I needed to complete my day!,"Im in love with this product, so creamy, hydrating, and feels light in my lips, and the color is perfect and uniform. Girl the packaging is everything too!",Nelracs,15 Dec 2024,RareBeauty,Lip,Yes
Favorite lipgloss,"I absolutely love this lip gloss, so hydrating and it lasts awhile. My favorite so far is nearly apricot. I just bought the nearly berry one and it’s very pigmented but I’m not a huge fan of the purple undertones .",Kalyn09,12 Dec 2024,RareBeauty,Lip,Yes
Exceeded Expectations,"Bought this as what I wanted was discontinued. This has staying power! Goes on easy like a lipgloss, but has rich, saturated color like a lipstick. Was at an event and someone stopped to ask if I had refreshed my lips since getting there and I said NOPE! Stayed on all evening in some HOT conditions! I don’t think anything lasts 100% through dinner, but this has impressive coverage and staying power. Will buy again! I think it is moisturizing also.",kelc14017,8 Dec 2024,RareBeauty,Lip,Yes
Color beautiful.. texture...,"It's a beautiful gloss, I'm not the biggest fan of the texture. It feel weird on my lips and is a sticky gloss. Not the biggest fan but the color is beautiful",RENTEEWS,3 Dec 2024,RareBeauty,Lip,Yes
"Pretty, but doesn't last long on the lips","Very comfortable on the lips with sheer pigment. It doesn't last very long unfortunately, but this is to be expected from a product like this. I like to use it as a ""topper"" over a lip stain or more matte lipstick.",,28 Nov 2024,RareBeauty,Lip,Yes
perfect moisturizer for your lips!,This is the second time i’ve bought this product and it’s because i love it so much. it moisturizes my lips and gives my lips color at the same time.,GJ14,27 Nov 2024,RareBeauty,Lip,Yes
,Love it!! It feels delicious on the lips and is a gorgeous color!,,26 Nov 2024,RareBeauty,Lip,Yes
Not really worth it purchasing,Honestly I saw the good reviews of this product and purchased it applying first time I like it after 2 3 days it’s almost half. I felt like it’s very thick portion and really sticky and doesn’t last much longer,karrss,19 Nov 2024,RareBeauty,Lip,Yes
,Perfectly subtle on my lips in terms of shine and color + moisturizing formula,mvlan,10 Nov 2024,RareBeauty,Lip,Yes
,"Amazing subtle gloss, keeps your lips moisturized with such a beautiful color!!",sararj,9 Nov 2024,RareBeauty,Lip,Yes
Buttery Soft Balm,"What I love about this product is the way it feels buttery soft and hydrating on my lips. What I’m disappointed with is that it doesn’t last more than an hour, requires lots of reapplication, and the wand applicator is way too small. It’s a lovely shade and moisturizing lip balm but be prepared for constant reapplication to provide adequate tint and gloss. I like it but I won’t be repurchasing it again unless there’s a few improvements made to the longevity and application design. Bit disappointing.",DrZubcic,5 Nov 2024,RareBeauty,Lip,Yes
,Subtle and pretty. Feels like butter! Also stays on really well. Not too sticky.,eryn626,3 Nov 2024,RareBeauty,Lip,Yes
Nice product to toss in your bag for fall,"Nice product that performed as advertised. Hydrating, balmy, and pretty. Rare beauty doesn’t dazzle me but I really appreciate the consistency and also that their  products are relatively affordable compared to other Sephora brands.",blueviolet21,2 Nov 2024,RareBeauty,Lip,Yes
Best lip product ever!,My favourite lip product ever! I am constantly repurchasing this as the formula is so buttery soft and doesn’t dry your lips out. Smells amazing,jessiazarccc,2 Nov 2024,RareBeauty,Lip,Yes
,"I like how these aren’t too much but aren’t too little. Feels so hydrating and smooth and Perfect for daily use, even a day out running errands. Simple but a lovely tint to the lips. Rated 4 starts only cause the actual applicator is small and takes several uses to really get the lips glossy but overall love it!",madsstum,30 Oct 2024,RareBeauty,Lip,Yes
,So plush! Feels very comfortable and the lightest wash of color. This will stay in my purse 🙌,LittleRedM,29 Oct 2024,RareBeauty,Lip,Yes
One of my favourites,"I really really love how this lippie feels, the texture is my favourite. I'm someone who doesn't like thin feeling lip products, and this feels very thick and luxurious. The only downside though is that the colour doesn't last very long so I'd use it ontop of another product as like a gloss",qcetone,28 Oct 2024,RareBeauty,Lip,Yes
Love,Beautiful on your lips but fades easy and is darker then shown on the model,kyloooo,28 Oct 2024,RareBeauty,Lip,Yes
Great lip gloss!,"This color is so beautiful. Goes on easily, my lips are smooth and moisturized. I can’t wait to buy more colors",MelissaD0708,25 Oct 2024,RareBeauty,Lip,Yes
GET THIS GLOSS!,i bought this product at a sephora a week ago after loving my nearly neutral shade and i cannot stop applying i love it and the shade so much i want more colors i bring this gloss every where i go its my go to and it is not sticky,Emilee327,23 Oct 2024,RareBeauty,Lip,Yes
,So I pair this lip gloss with my lip oil and a lipliner and it last all day,Jazzybellbellbe,21 Oct 2024,RareBeauty,Lip,Yes
The best lip gloss/balm I have ever used!!!!,"I never write reviews but I had to for this product. It is the creamiest lip gloss/balm I have ever used. It's not sticky, doesn't have a strong smell and the colour is absolutely perfect for me! If you like lip balms or lip oils you need to try this!",paris221,18 Oct 2024,RareBeauty,Lip,Yes
New fave,Wow I absolutely love this gloss. Love the applicator and feels amazing on my lips. Going to buy another color!,beccanj,16 Oct 2024,RareBeauty,Lip,Yes
Waste of money,"I don’t like this product , this is not long lasting ,my lips feel very heavy and sticky when I apply this product .. I would never recommend this
To anyone .. don’t waste your money on this product",simarjot1,16 Oct 2024,RareBeauty,Lip,Yes
I use this like EVERY day!💗💐,"Such a pretty lip gloss! Very pretty for any occasion, and so many colors to choose from! Selena always has such good products! Definitely a must have!",1presleyjo,15 Oct 2024,RareBeauty,Lip,Yes
My fav lip balm,I really like the color and texture (: this was my first product from rare beauty and I loved it!,Roxiexoxo,14 Oct 2024,RareBeauty,Lip,Yes
Love this!,"A great lip balm that is a nice combination of having color while also being sheer, making it look all natural!",GCheryl,14 Oct 2024,RareBeauty,Lip,Yes
Must have,"Your lips but better shade. It’s beautiful and gives a nice hint of colour to your lips. On top of that, because it’s a balm, it feels sooo smooth and is quite long lasting. I have been sleeping on these. I need the rest of the shades immediately!",BritttXo,30 Sep 2024,RareBeauty,Lip,Yes
,"Love everything about this lip balm!!! 
I got it first as free sample but end up buying full size.",ss18,19 Sep 2024,RareBeauty,Lip,Yes
Gorgeous!,I bought this product because the colour was stunning. The colour look gorgeous on albeit a touch more translucent than I had anticipated. thr colours is slightly sticky but has so scent or flavour and is comfort to wear. I wouldn't say it's long wear but does last about 2 hours.,vbingr,14 Sep 2024,RareBeauty,Lip,Yes
needs more hype for sure,"this gloss is SO good. ik the rare beauty blush is so good but THIS GLOSS??? it has such a nice finish and feels so nice on my lips, and lasts for awhile!",lfrizzy,3 Sep 2024,RareBeauty,Lip,Yes
I LOVE RARE BEAUTY 💕,I LOVE my RARE BEAUTY By SELENA GOMEZ Stay Vulnerable Glossy Lip Balm in the Color Flushed Pink is absolutely gorgeous & it is hydrating & long lasting definitely going to be buying again soon,CindyB2192,17 Aug 2024,RareBeauty,Lip,Yes
Bye bye chapped lips,"Feels great to have on! Not messy, long lasting, and keeps my lips moisturized.",WhizLiz,11 Aug 2024,RareBeauty,Lip,Yes
one of my top 3 lip products,"I don't like lipstick, more of a gloss type of person. downside to the gloss is always the stickiness feeling which I hate but I put up with. Don't have that problem with this. beautiful shade,  nonsticky, comfortable, and honestly moisturizing too! love love love",SharV1,9 Aug 2024,RareBeauty,Lip,Yes
Definitely a must try,"I’ve been using this product for a couple of years, and it is one of the best lip balm. I’ve ever owned.
Not only does it go so well with my skin colour but it’s also long lasting",brownsugars,5 Aug 2024,RareBeauty,Lip,Yes
Nothing like it!,"I am a lip product addict- I have tried multiple “must haves” and have fallen victim to hyped up products. 
This lip gloss balm hybrid is something I always come back to, this lasts on me much longer than majority of products I have and keeps my lips feeling hydrated and gives a very comfortable gel like feel and has such a pretty tint! 
must have in my everyday, and will certainly be a repurchase.",Kenaelizabeth,5 Aug 2024,RareBeauty,Lip,Yes
A must have lip balm,Love this! It hydrates my lips so well and lasts! Looks so good with a lip tint and is perfect for and everyday use. Love the packaging and doesn’t feel sticky or smell bad.,userswiftie,4 Aug 2024,RareBeauty,Lip,Yes
Calling this dry lip gloss a “balm” is misleading,"Bought this a few weeks ago in-store bc I loved the color. When I first tried it out it wasn’t as moisturizing as a lip balm should be, but maybe slightly less drying than a regular lip gloss. It’s cute for a few hours but if I wear this all day it leaves my lips feeling dried out and I need a lip mask or thicker balm to help remoisturize them. This product is a fine lip gloss with a nice color but definitely should not be labeled a balm.",evAlin,4 Aug 2024,RareBeauty,Lip,Yes
RUN AND GET THIS,Love this so much it hydrates your lip and it is a beautiful shade will be repurchasing!,Breckybee,1 Aug 2024,RareBeauty,Lip,Yes
Love love love this,"Very unrated and unheard of , not sticky and is very smooth and pretty",bellassss,26 Jul 2024,RareBeauty,Lip,Yes
,It is the most perfect non sticky lip gloss ever!! I would totally recommend it!,Evee27,25 Jul 2024,RareBeauty,Lip,Yes
This is the most unique tinted balm.,"I've never tried one that feels exactly like this. It's so slippy, but velvety and light. It feels like a dream to put on and nearly neutral is my favorite shade. It is lightly vanilla, and maybe that's why it's not as hydrating as it could be? It's strange because it feels so good, but if it comes off it doesn't leave any hydration behind. That's why I docked it a star. I have repurchased this because it's beautiful. I wish there was a clear that was unscented and more nourishing.",lipbalmgoblin,24 Jul 2024,RareBeauty,Lip,Yes
