ReviewText,Title,Date,UserID,Brand,Product,CelebrityBranded
I love this mascara. It doesn’t clump up on my eyelashes like other mascaras do and I love that! The packaging is super cute as well. I will definitely be purchasing again!,Great Mascara!,05 Feb 2025,morgansaffelle,RareBeauty,Mascara,Yes
"I love this product but if you are a beginner get the mini. It’s really big, but it works really well and it’s not that messy.",I do recommend,01 Feb 2025,fallgrls101,RareBeauty,Mascara,Yes
I really wanted to like it but unfortunately it clumps and flakes off,,01 Feb 2025,chelsea09,RareBeauty,Mascara,Yes
One of the best mascaras I have used! The only down side is that it stains when you’re applying other than that it’s so amazing!,,31 Jan 2025,keilamarian24,RareBeauty,Mascara,Yes
This is the worst mascara I have ever purchased. It clumps in the container after one week. I was influenced by Wirecutter’s review to purchase it. Celebrities should be held to higher standards in their beauty lines. Do not waste your money. I’m thinking of  using it as polish for my boots.,Crap in a pretty container,31 Jan 2025,ck1ck1,RareBeauty,Mascara,Yes
The mascara clumps way too much at first stroke. It's become a hassle to use and I'm going to return it.,,28 Jan 2025,SummerofG,RareBeauty,Mascara,Yes
THIS IS MY FAVORITE MASCARA EVER!! It has such a good consistency and application!,I NEED MOREEEE,28 Jan 2025,leigh131313,RareBeauty,Mascara,Yes
This is the best mascara I have ever used it makes my eyelashes look longer than they already are and it doesn't flake off or clump and it's really good!,,28 Jan 2025,Kirra12345,RareBeauty,Mascara,Yes
This mascara is amazing. I love everything rare beauty and this… I bought the mini size to start because I did not know if I wanted to commit to the big one due to the price. But then immediately wanted the big one. If you want a tubing mascara this is not for you. But if this is the type you like. GO FOR IT!!!!,AMAZING- Every Day Neccecity,25 Jan 2025,jpaleudis,RareBeauty,Mascara,Yes
its a decent mascara. Nothing too special though. Found it flakes and clumpy.,,25 Jan 2025,purpledank,RareBeauty,Mascara,Yes
Such a good mascara!! I love it… I feel like this product is underrated… does not flake !,Underrated product !,23 Jan 2025,Emimiemiii,RareBeauty,Mascara,Yes
"I like that this is created with cleaner ingredients. However for me, it clumps a bit too much. The formula is pretty thick and wet, so maybe it just doesn’t dry quite fast enough. It is a little tough to get off though not too bad. I still use it on ocasion but it’s not a favorite. I probably wouldn’t purchase again.",,22 Jan 2025,k322,RareBeauty,Mascara,Yes
"It’s good for like the first 2-3 times using it and does what any mascara should do. Anything beyond those amounts of uses it starts getting really really really clumpy and dry and it’s just good. 
 mascara  mascara at all.",Clumpy mascara,19 Jan 2025,Joseline,RareBeauty,Mascara,Yes
Not sure if I received an old product but this is unusable. It’s so dry and flaky that you can barely get it on your lashes. Very disappointed.,Disappointing,18 Jan 2025,JoannaD921,RareBeauty,Mascara,Yes
This is the worst mascara I’ve ever used. It is so dry to the point that it’s grainy. There are dozens of clumps all over my lashes. It flakes immediately and I was constantly wiping the flakes from my cheeks. I will be returning immediately.,,18 Jan 2025,csei97,RareBeauty,Mascara,Yes
"The rare beauty mascara is a MUST!! After using this, my lashes were so curled, voluminous, and way more!! I didn't even need to use a lash curler, it just naturally curled it!",this is a MUST!,17 Jan 2025,amelia8989,RareBeauty,Mascara,Yes
Such a great mascara! Definitely gives my lashes serious length - on the dryer side for those who don’t like super wet mascara. Hard to get off but that’s a sacrifice I’m willing to accept!,A really great mascara!,17 Jan 2025,Anniebelles,RareBeauty,Mascara,Yes
"A frequent restock for me. It doesn’t flake, even after a 12+ hour shift (I’m a nurse). It looks pretty, doesn’t clump, layers well. I love it!",Best. Mascara. Ever.,16 Jan 2025,AnnaKo81,RareBeauty,Mascara,Yes
"I’ve tried multiple mascaras and this one unfortunately was a miss. It clumps up, not water proof, and has fall outs. As someone who has long eyelashes finding the right mascara is hard. This one just doesn’t work I kept thinking maybe I did it wrong or needed to give it more chances but it just made my lashes look thinner or I had a crying session.",A miss,16 Jan 2025,Zetteee,RareBeauty,Mascara,Yes
i had this for a few weeks and it was just always clumpy and dry.. i wanted to love it but it made my lashes look weird,,16 Jan 2025,haelee1,RareBeauty,Mascara,Yes
it so good! Just arrived today. I’m super satisfied but maybe the packaging should’ve been. Better other then. That it so good u did it Selena 😍😍,,16 Jan 2025,anaelsa118,RareBeauty,Mascara,Yes
Great dryer formula mascara. Got this in the Sephora advent calendar and had to buy a full size!,,15 Jan 2025,swip,RareBeauty,Mascara,Yes
This Mascara by Rare Beauty is perfect! Does not smudge or flake. New favorite!,Must have mascara!,14 Jan 2025,scarney4,RareBeauty,Mascara,Yes
When applied my eyelash appear to be clumpy and I do not recommend this mascara,Clumpy,11 Jan 2025,strawbeli,RareBeauty,Mascara,Yes
"Super bummed. Great applicator but the formula is thin, flaky, and either comes off the moment your eyes water, or you have to scrub for hours to get it off. I love rare beauty but this was so bad.",,11 Jan 2025,blondewithadog,RareBeauty,Mascara,Yes
"I love Rare Beauty Products, and generally find them to be excellent quality. Sad to say, this one was disappointing . Very dry and flakey. Won’t buy again.",Disappointed,09 Jan 2025,Nicole14M,RareBeauty,Mascara,Yes
"I bought the mini to try it out and OMG. This mascara gives you great length, it stays curled throughout the day, and doesn’t flake off! I LOVE THIS PRODUCT.",MY HOLY GRAIL MASCARA,4 Jan 2025,NotSarah0804,RareBeauty,Mascara,Yes
"I was a little disappointed about the mascara, it makes your lashes look good, but I noticed over time that it gets really dry and clumpy.",,4 Jan 2025,klily13,RareBeauty,Mascara,Yes
I love this mascara it’s not clumpy I get so many compliments when I wear it. It gives my so much length and volume. It hold a curl so well I curl my lashes in the morning and they will still have an after my 12 hour shift. 10/10 amazing!,Perfect 10/10,4 Jan 2025,SourPickle,RareBeauty,Mascara,Yes
