ReviewText,Date,Title,UserID,Brand,Product,CelebrityBranded
"It’s overall a good product but, INSANELY difficult to blend. The pigment is spot on though. The packaging is okay but it leaks into the cap.",15 Jan 2025,Read before you buy,preppy777,Tilbury,Blush,No
"The tube only consists half of the product, rest is air that gets squeezed out. The applicator isn’t practical on its own and you would need a beauty blender or brush. It’s not as pigmented as I hoped, as it took many taps to see the color on my cheek. Otherwise the shade is really pretty and texture is creamy.",5 Jan 2025,Almost Just Air,Cantarella,Tilbury,Blush,No
"The MOST underhyped blush imo. Not only is it beautiful creamy, not too matte, but it STAYS. Don’t be intimidated by the “matte” description. Blends out beautifully too. Also, my wand lasted me a YEAR.",5 Jan 2025,Buy it. Try it. Love it.,danik8718,Tilbury,Blush,No
Love this color on me worked so well. Easy to blend out. The price tho… I just wish it wasn’t so expensive. The wand it great. just make sure not to squeeze so hard or to much will come out.,4 Jan 2025,Great color! Not so bad.,Lunacuttie3,Tilbury,Blush,No
Love this blush!Easy to blend and beautiful packaging!But the colour on the packaging doesn’t match what it looks like on skin.,28 Dec 2024,,bkahhj,Tilbury,Blush,No
"bad bad bad. this product is such a waste of your money! first of all, it comes with less than half of the tube filled up and not only that, it exploded everywhere after a week I got it. blush feels oily and doesn’t look matte at all. DONT WASTE YOUR MONEY",8 Dec 2024,HORRIBLE,queengirl198,Tilbury,Blush,No
"I like the pigment but can’t recommend you spend money on something that’s going to goop out all over the place. The way the packaging is, makes it very difficult to save your product. It leaks out inside the cap and outside because it has a twist too. It also looses a LOT of product if you decide to take it on the plane because of the pressure. There will be nothing you can do other than maybe save it in a different container but risk for contamination. Overall I’d love to see the formula in a different packaging because it’s pigmented and lasts but it also needs to be applied over maybe not liquid foundation because I found it took some of it off as I tried blending it in and it left patches on my amface.",29 Nov 2024,Like the formula but packaging wastes product!,,Tilbury,Blush,No
The perfect shade of pink. I can’t stop using this daily!,20 Nov 2024,Perfect color for light to medium skin,itssjazminn,Tilbury,Blush,No
"You can sheer out the pigment a lot and get a really natural look--this shade is actually really close to my natural flush. It's a bit unforgiving in terms of how soon after applying that you need to blend it out, though, otherwise it will look patchy, but the application is mostly great",12 Nov 2024,,viiiix,Tilbury,Blush,No
"I didn't care for the performance of this product.  It doesn't blend out very well on the skin, a bit streaky.   Also, the packaging seems cheap and the product leaks.  I would not repurchase.  There are many better products out there.",11 Nov 2024,,colormepharose,Tilbury,Blush,No
"Ugly color
Did not blend well and product tube is horrible.",10 Nov 2024,,uma859,Tilbury,Blush,No
I love the product but the bottle came half empty with the blush,7 Nov 2024,,IlILOVESCHOOL,Tilbury,Blush,No
"I’m convinced that people who complain are not using the product correctly. This has never dried down fast, never spilled out the container,  I’m almost done with mine and the packaging still looks like new. I log the pigmentation literaFOEVEREEERR of this product and it last",25 Oct 2024,Puuurrrfect !!!!,Vaam,Tilbury,Blush,No
i love this! it is such a cute color and easily blendible and is great for natural looks!,20 Oct 2024,,,Tilbury,Blush,No
I used this product consecutively for a couple weeks because I was that obsessed with this cream blush. I even used it on my eyes as well. It’s a multi use product. I get compliments on it all the time!,17 Sep 2024,Yall! Buy this must have product,beaurevu,Tilbury,Blush,No
If I could give less than 1 star I would. THIS CRAP IS HORRIBLE. Packaging 0/10 hate the puff ball. Product 0/10 doesn't blend well and ends up patchy. Formula 0/10 NO BLENDABILITY and DRIED OUT ALMOST IMMEDIATELY,12 Sep 2024,DO NOT BUY,MarieWhite,Tilbury,Blush,No
While I love the color and formula of this product I absolutely hate the packaging. Messy and desperately in need of an update.,1 Sep 2024,,LexiBeautyRouge,Tilbury,Blush,No
"I have sworn by this product for i think over a year now? And i’ve had the same one for 6 months, use it almost daily. The applicator is so soft and stays intact and you don’t need much product. A little goes a long way with this blush. Charlotte Tilbury does it every time.",21 Aug 2024,,alyssaross1,Tilbury,Blush,No
It was great in the first few months but then it dried up and it’s a mess! It’s a battle to get some product off the tube. Very disappointing: (,18 Aug 2024,Great until it dries up,AlexTx,Tilbury,Blush,No
Does not work very well and hardly anything in the container,10 Aug 2024,Not worth it,allie4life,Tilbury,Blush,No
"I for one love charlotte tilbury products, but this one tops the charts! A perfect shade of pink with a beautiful matte finish 😘 This blush is perfect for the summer “sunkissed” look!",8 Aug 2024,Stunning summertime blush!,clarebear21,Tilbury,Blush,No
It’s a nice blush but has its flaws. I have fair cool skin and can look orange on my skin. You also have to use a lot of product or it disappears on the skin. The packaging is also really messy. It is a noce color and feels nice on the skin.,5 Aug 2024,,LilacAlora,Tilbury,Blush,No
"Much alike to the  contour, this product is very patchy with little product for its price. Sure, it is pigmented, but there are other blushes that will perform better.",30 Jul 2024,Not worth the splurge.,Ally2026,Tilbury,Blush,No
Wanted to love this because the contour wand is amazing however the colour is way to pigmented and doesn’t go on as nicely as the contour wand product. Patchy. Just not a fan at all.,25 Jul 2024,,melania21,Tilbury,Blush,No
"I see many negative reviews on this product, but I absolutely love it. The color is sheer and beautiful and blends nicely. A little goes a long way, so don’t overuse. I carefully unlock the applicator sponge, then, then squeeze just enough to moisten the sponge, then lock it again. That amount will last me several days with no leaking asqueeze just enough to moisten the sponge and then lock the applicator and that amount of blush will last me several days without leaking.",16 Jul 2024,Beautiful Product!,kmcis,Tilbury,Blush,No
When I bought this blush I loved it. As the weeks passed it became more patchy on my cheeks and it separated at the skin. Definitely a skip for me which is a bummer given the fact of the price point and the beautiful color. In my opinion you can skip this blush.,14 Jul 2024,Sadly a skip for me,Isabelli12,Tilbury,Blush,No
"The color is great, the feel and blendability is great but the packaging is atrocious. The locking mechanism does not stay locked so you never know what you’re gonna get when you take the top off. I have ruined two blouses and a brand new make up case because the creamy blush got all over the place and it’s impossible to get out once you get it on your clothes - threw mine just the trash in fear of ruining another favorite top!",12 Jul 2024,,Oceans22,Tilbury,Blush,No
doesn’t blend well into other makeup even if ingredients have the same base,11 Jul 2024,,sammy01,Tilbury,Blush,No
"First of all, the packaging on this product is beautiful! I love the applicator, and spills and leaks aren't common at all. The pigment is on point, and the blush stays on all day, which is convenient for me. Aside from the high price point, I have no complaints. There's so much product for the price, so it's very convenient. It blends seamlessly into my skin and looks absolutely stunning! Overall, the only way to describe this product is amazing! Charlotte Tilbury brings it's A game to the table, or in this case, the vanity.",8 Jul 2024,Must have blush!,Sophia101118,Tilbury,Blush,No
After using this for a while I actually liked the color and the formula wasn’t bad. The reason I gave 3 stars was for the packaging. After I would squeeze more product out it became so messy with the product all over the inside of the tube and outside of the tube. I would recommend but the packaging was just a let down.,6 Jul 2024,Just beware of the packaging !,laurasophiaa29,Tilbury,Blush,No
Awful blush but beautiful color. Dries as soon as you put it on so cannot blend out . Returning.,24 Jun 2024,Just say no,XochOlg,Tilbury,Blush,No
"What a great product!  This blush is the perfect color for me.  Easy to apply and long lasting, I love the wand applicator.",19 Jun 2024,Stays on forever!,KatGram,Tilbury,Blush,No
"The way how this blends on the face, the natural glow and color on your skin. Wow! Wonderful!!!",15 Jun 2024,,,Tilbury,Blush,No
"Love the formula looking forward to getting more, but the price is pretty pricey. Also, the shade is a little darker in real life, but it does blend out really pretty. ￼",14 Jun 2024,,beautyreviews12,Tilbury,Blush,No
love the color however i find it difficult to blend. it does last though.,14 Jun 2024,difficult to blend,sharona1980,Tilbury,Blush,No
"The most perfect red shade I have found so far! I used to use the pixie blush in the shade, Rubee! But that one was not very pigmented. So when I found this one, I knew that it was perfect! ￼",11 Jun 2024,My new fav blush!!!,auzi5050,Tilbury,Blush,No
"i know the price is scary but this is my favorite blush!!! it’s so easy to apply and so smooth to blend..delicate and subtle yet makes a statement. don’t let the price scare you, get it!",8 Jun 2024,this is a NEED,morganxann,Tilbury,Blush,No
application is simple if you gently dab the product! colour is so beautiful on my light neutral olive skin (as per the review before stated). buildable and overall great if you’re willing to spend $$. I just wish the lid twisted shut instead of the simple pull off.,7 Jun 2024,pricey but great,wildefairy,Tilbury,Blush,No
Beautiful color and long lasting! Gives you that sun-kissed look especially if you have light olive skin tone. A very little product goes a very long way!,31 May 2024,A must-have!!,RanaYkn,Tilbury,Blush,No
"It lifted my foundation , the thing is that I absolutely love the colour . Returning",29 May 2024,Lifted my makeup underneath.,amandyvee,Tilbury,Blush,No
So cute and perfect. Love the 🍑 peachy pink blush look and has a great finish.,28 May 2024,Buy it!!,mahanoirb,Tilbury,Blush,No
Application was really easy specially for people who don’t wear a lot of make up! I like what smooth it went on and how well it blended in. Definitely a perfect keep in your purse product.,27 May 2024,Easy to use,rebeccajax,Tilbury,Blush,No
"I treated myself with this one but for me it did not live up to the hype. It’s not pigmented enough after blending and I need to apply a lot more product to get the same result as some of my other “less is more” blushes . Also, the applicator is just not it.  The twisty thing is driving me crazy.",26 May 2024,Overhyped :(,kashishhh,Tilbury,Blush,No
It’s so dewy and pigmented ￼10 out of 10 recommend,25 May 2024,,jenny839232,Tilbury,Blush,No
"Gorgeous color, beautifully goes on, application is messy",20 May 2024,"pretty, minus the application",Reedadair,Tilbury,Blush,No
"For the price, there is barely any product. It’s overpriced imo and there’s better luxury makeup out there that definitely had WAYYY more pigment. The color is more of a peach pink. SO disappointing",19 May 2024,Not worth it,lilbadgal,Tilbury,Blush,No
"It's not bendable, wasn't my shade, barely any product, not true to pictures, patchy, drying, hard to remove.",11 May 2024,eh.,Lilyismeee,Tilbury,Blush,No
I really enjoyed the product but find it too expensive to repurchase. I also felt like the tube was half full at the time of purchase. Doesn't last very long if using regularly.,2 May 2024,nice but expensive,MsNicA,Tilbury,Blush,No
"Love the colour, easy to use. The tube is easy to carry and applicator is nice and no product is wasted.",2 May 2024,Love it !,CocoBGirl,Tilbury,Blush,No
"Like o there’s have mentioned the packaging almost makes you want to hate it. The doing applicator twist to open thing is not doing it for me, just so messy. Pay off is cute, very blendable, nice sheen/texture. Definitely use a brush to blend this, do not use a beauty blender it just eats this product right up! Overall it’s cute but not life changing.",2 May 2024,It’s aight 🤷🏻‍♀️,,Tilbury,Blush,No
"I think this is a splurge type of product that you can get but don’t need. The color is very pretty, but I found it hard to blend out. Overall, I don’t think it was worth the price, but I do like it but wouldn’t repurchase.",28 Apr 2024,Pretty but quality is ok,Lalro,Tilbury,Blush,No
"I tried to love and make this blush on work, but unfortunately it didn't work for me. Too patchy and I had to remove it using makeup remover and change into another blush on! So disappointed and this is too expensive!",26 Apr 2024,No. Don't buy this,Alian15,Tilbury,Blush,No
"I’ve been looking for a pink shade cream blush and I like Charlotte Tilbury lipsticks and setting powder so I decided to give this blush a try. It has a low pigment, it is buildable but it just didn’t look natural looking, so I returned it right away.",24 Apr 2024,Not so much pigment,zibaghasemi,Tilbury,Blush,No
I put two small dots on my cheek and blend it out with a brush.  On the occasion that I get too much on my cheek I just dab it with a wet beauty blender and that does the trick. I have every color Charlotte Tillbury blush and this is my new favorite with the pillow talk highlighter.,22 Apr 2024,A little goes a long way,FranDeSantiago,Tilbury,Blush,No
It’s really hard to blend it No worth it! It’s really messy,19 Apr 2024,waste of money,jennysgm03,Tilbury,Blush,No
Perfect everyday blush. The formula is matte but not drying. Blends out easily and has medium pigment level. Easier for this novice to work with vs the rare beauty which are VERY pigmented. I have all the colors!,18 Apr 2024,Best liquid blush for all levels,blushing4days,Tilbury,Blush,No
"Separates on skin, goes on patchy and doesn’t last. Not worth the money. I would expect way better for the price point.",16 Apr 2024,Just no,ksheah,Tilbury,Blush,No
I have used this product every day but one for the last week and I regretted the day I didn't use it. The formula is amazing - I was worried it would be too pigmented (looking at you Rare Beauty) but it blended out so easily and stayed put all day. The color is also perfect for my very fair muted olive tone skin. I didn't want to love this product because it's a bit pricey but I use only a few dots each day so I feel like the tube will last me quite a while. I can't wait to use this more!,12 Apr 2024,A new daily favorite,AshBol,Tilbury,Blush,No
I wanted to love it so bad but I just find it really hard to apply. It freezez immediately and it gets so hard to blend. Does anyone have that problem if not please advice me on how to use it because i may be wrong.,12 Apr 2024,,Fionacobo,Tilbury,Blush,No
"I've been using this for almost a year now, and I actually love it! At first I was blending it out with a beauty blender, so it seemed like there was no color payoff. however I've learnt that it's best to blend it out with a brush, and mostly on the outer edges. I do layer it with powder blush but it is an extremely long lasting combo. and a little goes a long way if you blend it out right and mostly at the edges. yes it is pricy, and it doesn't take long for it to seem like the tube is mostly finished, but that's deceiving. Pink pop is my favorite, but I also like Peach pop and the contour shade.",12 Apr 2024,,ZSahar,Tilbury,Blush,No
"The initial color is bright and beautiful but once you blend or brush it out, the color completely dissipates. You have to layer with a powder blush to even bring out any color. This isn’t the pop of pink I was expecting. Maybe perfect for a natural beat or very very light makeup, but not for a soft glam or full makeup look",31 Mar 2024,Not nearly as pigmented as advertised!,ChristisLord1,Tilbury,Blush,No
i love this blush!!! it is so pigmented and the perfect shade!,21 Mar 2024,,Anna1040,Tilbury,Blush,No
"Eh, I wouldn’t say it’s worth the money. It has a shimmery finish which some people love but I don’t particularly like it and the color pay off isn’t anything near what I would have expected with that price tag. If you are looking for a good blush I personally love the Marit blushes in any color, my favorite is cheecky.",21 Mar 2024,Not worth the money,makennakopriva,Tilbury,Blush,No
"Pink pop is gorgeous. The wand more expensive than other liquid blushes because there’s more product in the tube - about 86% more than Rare Beauty’s standard size. Unfortunately, it doesn’t feel like you’re getting almost twice as much product, because the packaging is so much lighter. My brain irrationally wants to believe that it’s overpriced, even though that’s apparently not the case. TBD if I’d buy again.",19 Mar 2024,"Good, but the packaging undermines the value",HeyItsAlexandra,Tilbury,Blush,No
"I don’t like this product because the pigment disappears when you try to blender it , and I really love pinkgasm but this one is a no for me",18 Mar 2024,,mary9712,Tilbury,Blush,No
"Very pigmented, pretty long lasting. I had a bit of a learning curve with the applicator. I do feel it is a bit over priced for what it is.",12 Mar 2024,,april0226,Tilbury,Blush,No
"I was a little bit spectacle about this shade at first. But the shade is stunning!! It is easy to blend,looks so pretty and it’s buildable! My new favorite blush!! Definitely recommend 
!",12 Mar 2024,YESS!,katix,Tilbury,Blush,No
This is a beautiful color while it last on your skin! The blush didn't seem to stay on for long! It blends beautifully and pigmented but you better be quick cause it dries so fast! I suggest you use a damp beauty blender! Got this from influencer and Charlotte Tilbury for my honest review!,6 Mar 2024,It's pretty,bobbi7202,Tilbury,Blush,No
