ReviewText,Date,Title,UserID,Brand,Product,CelebrityBranded
"I love the colour and the consistency (and while I generally dislike the sting of plumper, do not feel like this one is bad at all) but the packaging is terrible! Every time I take the wand out, I have to be extremely careful to not have the product leak down the outside of the case. Returning after use is even worse! I think the applicator tip is too wide for the opening and this causes too much contact. The wand itself though also attracts a lot more product than any other gloss I have used before so it just oozes down to the sponge. Most often, when I close the lid, I end up having to wipe excess gloss that leaked. I love the look of the packaging but am totally wishing I could transfer it to one that actually works.",02 Feb 2025,"Love colour and consistancy, awful leaky packaging",kexy,Tilbury,Lip,No
I like the color but it definitely does not plump my lips. There was a bit of tingling which I don’t mind but it did nothing volume wise. Overhyped and overpriced imo.,29 Jan 2025,,jossyT,Tilbury,Lip,No
Best plumping lip product that I have tried! Very moisturizing. Definitely worth the price.,27 Jan 2025,Love this!,Cristelis367,Tilbury,Lip,No
I love this gloss the color is great and the gloss is made with fire and ice it feels like fire and ice tingling and burning your lips love it it does pump your lips,25 Jan 2025,Love this gloss!!,Missilli,Tilbury,Lip,No
"Best lip plumper Iv ever used, not only does it not sting like other lip plumper but the color and the consistency is perfect and so smooth.",11 Jan 2025,,brook1717,Tilbury,Lip,No
"This is a GORGEOUS color- and it’s so lightweight it’s more like a serum texture. Not sticky at all- even a little runny in the tube. But THE PLUMP is there and it adds more color to the lips as it plumps, it does burn but it’s not unbearable like some other plumpers I’ve tried (and my lips were chapped when I applied it in this photo) so I can imagine it doesn’t burn as much on unchapped lips. But this is my new favorite gloss so glad I tried it!!",10 Jan 2025,HELLO PLUMP,jessssejess,Tilbury,Lip,No
I LOVE this gloss. This is the only plumping lip gloss that doesn’t give me an allergic reaction. I really love this shade.,3 Jan 2025,Love This,superjet,Tilbury,Lip,No
"I bought this 1/1 and really like it . It’s creamy, it feels hydrating and I like the tingle. The tube was nicked which was annoying. I wouldn’t care as much if it didn’t cost $37.",3 Jan 2025,Like the product not the price point,Goodtrouble76,Tilbury,Lip,No
"I bought this a couple of months ago and absolutely love the gloss and the  effect,,, I'm 72 years old and it works on my thin lips! I will be reordering !",3 Jan 2025,Love this formula,Julesmclark,Tilbury,Lip,No
"Very pigmented, lasts a decent amount of time for a lip plumper, and I love the feeling/texture. Most plumpers have a gritty feel and I don’t love them but this one is so smooth and creamy",3 Jan 2025,Beautiful and works well,Samantha209,Tilbury,Lip,No
Love the formula but the container is hard to keep clean. Every time I use it there’s lip gloss all over the outside of the container,27 Dec 2024,Love the formula don’t like the container,Kzyq,Tilbury,Lip,No
Disappointed in the quality doesn’t last you need to constantly apply.,16 Dec 2024,Disappointed,Karlycast,Tilbury,Lip,No
I use Pilllow Talk matte .This gloss I felt over powering as it made my lips itchy and allergic which I never had .,3 Dec 2024,No .Not buying their lip glosses again,jjulfa,Tilbury,Lip,No
this lipstick is beautiful but sadly i lost it in the babyshower of my friend i couldn't find it but the formula is one of the best it like every day lipstick,28 Nov 2024,the most beautiful lipstick,lorenamk,Tilbury,Lip,No
