Title,UserID,Date,ReviewText,Brand,Product,CelebrityBranded
Not a right product if you have oily skin,Daria06,03 Feb 2025,"This mascara gave me panda eyes, also it dries out quickly and the applicator doesn’t lengthen the lashes",Tilbury,Mascara,No
Best mascara ever,Sophoe1010,31 Jan 2025,"I have used this mascara for almost 5 years now and I will not go back to other products. This is a high quality mascara and applies lightly, limiting any clumping. The brush shape prevents clumping as well. The one con is the price.",Tilbury,Mascara,No
Lengthening but not volumizing,sockmonkey14,29 Jan 2025,"Great mascara for a light, wispy look. I wasn’t impressed with the volume, though. The brush has areas with no bristles to supposedly get more product for volume, but I found the product just dried in those areas of the brush. I might try the new exagger-eyes mascara from CT.",Tilbury,Mascara,No
,hanna1211,26 Jan 2025,"This mascara doesn’t provide length or volume. It clumps lashes together, dries out, and the brush is uncomfortable.",Tilbury,Mascara,No
Clumpy and Smudge,carebear626,21 Jan 2025,It’s so clumpy and even on the rare occasion it looks okay it smudges off in like 5 min,Tilbury,Mascara,No
I don’t understand all of the glowing reviews,mvandendooren,18 Jan 2025,"I have tried probably half of all of the mascaras that Sephora carries, so I was excited to try this one after reading all of the glowing reviews. I have to say that for my lashes, it’s a disappointment. First of all, the formula is quite dry, and because of this, it results in a feathery, thin but soft-looking lash. Maybe that’s what some are  going for, because it looks a bit more natural? The brush doesn’t do a great job of extending and defining the lashes, which might be fine for those who have lashes that are always perfectly aligned. Mine need a strong brush that can manipulate them to make a nice “fan”. It literally took about 7-8 minutes of coat after coat after coat to make my eyelashes look good. Aaand, I had to come back again after finishing the rest of my makeup to get them back “up”. This while also navigating the fact that the brush is kind of flat-ish, in that it only has bristles on two ends which requires a certain mastery. I can see that ultimately the results are decent, which is why I gave it three stars, but why would I spend 8 minutes doing mascara, when it takes only 1-2 minutes using old standbys like Roller Lash and Bad Gal? I’ll stick to my Benefit mascaras.",Tilbury,Mascara,No
Long lash vibes,,11 Jan 2025,Goes on really smooth and lifts my lashes instantly!!,Tilbury,Mascara,No
Will buy every time I run out.,Josieekk,09 Jan 2025,"This mascara is really amazing! A lot of other brands have mini mascara and their smaller and more expensive, surprisingly this one isnt to bad for 15 dollars. Doesn’t smudge, more length then volume.",Tilbury,Mascara,No
worth the price!,,4 Jan 2025,i got this a week ago and have been loving it so much! this mascara gives volume and length without any clumps! this is by far my favorite mascara and i use it daily,Tilbury,Mascara,No
,jamisynlyden,2 Jan 2025,"super clumpy and thick, i tried to take some of the product off the wand and it was still very clumpy. it makes my eyelashes fall within about 10 minutes of wearing, and will rub off on to my lower eye. i do not recommend.",Tilbury,Mascara,No
nope,BrendaLisa,29 Dec 2024,I was so disappointed. It literally felt like it was dry and expired.,Tilbury,Mascara,No
,Mitsyy,24 Dec 2024,"i love the brush, it lets me be precise with the way i like to apply my mascara. the downside is that it will be smudged under my eyes by the end of the day, though this can be somewhat managed with a good setting spray.",Tilbury,Mascara,No
One of the worst mascaras on the market,maddieeshea,23 Dec 2024,"I like to consider myself a mascara expert as I have tried many on the market, and this is definitely one of if not the worst I have ever tried. It is incredibly dry, and absolutely not volumnizing whatsoever. If you wanted this to have any volume, you would have to apply 100 coats.",Tilbury,Mascara,No
,Mirvina,22 Dec 2024,"I used to love this product but not anymore. The last time I got it from sephora, didn’t last a week cause it was super dry like there was no product inside. Maybe it was used I don’t know but it was loss of money. I will never buy it again. I guess was empty",Tilbury,Mascara,No
,Snowy11,13 Dec 2024,I am not the biggest fan of this it’s just not for me.,Tilbury,Mascara,No
Great Staple,hollaabackk,6 Dec 2024,"The sample of this impressed me so much I bought a full size ASAP. Love the brush and it’s a good formula (it’s a formula that ones it’s been used a few times it gets better, drier)",Tilbury,Mascara,No
Crumbly and short lasting,ARobb123,27 Nov 2024,I can’t even use this it just crumbles and leaves black specks everywhere. Really poor quality and doesn’t stay on.,Tilbury,Mascara,No
Really Disappointed,nocw,24 Nov 2024,"I confess that I chose this mascara because it was the only one that didn't have the word ""EXTREME"" in its name, lol (well, also because CT is generally a good brand, and I have liked some of their other products). Unfortunately, this mascara was messy to apply and clumpy. It was hard to remove the inevitable smudges from my eyelids. It managaed to come off pretty easily from my lashes, however, because it regularly left me with dark circles under my eyes after only a few hours. The color is nice, and I only got a travel size- those are the best two things about this purchase. :(",Tilbury,Mascara,No
Fabulous mascara,GENXBUTEEJUNKEY,24 Nov 2024,"I love this mascara. It lifts the lashes and coats them evenly. No flaking, smudging, or wearing off during the day. I keep trying other brands, but always go back to this one.",Tilbury,Mascara,No
Holy Grail,laurencollin,20 Nov 2024,"This is my ride or die. It makes my eyelashes Gorg, I constantly get questions if I’m wearing falsies. Absolutely the best.",Tilbury,Mascara,No
Beautiful,sarsurraa,17 Nov 2024,This mascara is gorgeous. I have light green heterochromia eye color with a yellow hue/ring. It make my eye color stand out! I have already bought this twice. My husband wont let me wear black mascara anymore,Tilbury,Mascara,No
Beautiful Colour. Bad wand,Jackie19952,13 Nov 2024,"Amazing colour! If you are a redhead this is the perfect colour for you! It looks so natural but still gives length! However, the wand is so weird. It made my lashes very clumpy and got the mascara on my skin.",Tilbury,Mascara,No
I love this product it’s sooooooo good,jhanalh,9 Nov 2024,It’s easy to apply and open makes my lashes look so much better than they look naturally,Tilbury,Mascara,No
Don’t waste your money on this,ViktoriiaKroo,4 Nov 2024,I bought this mascara because I thought it has beautiful color but  I’m disappointed. The color is not the same when you apply it and I have long eyelashes but with that mascara it looks like I don’t have any and after couple hours you will have dark circles under your eyes. Definitely not recommend it. Don’t waste your money couplechours,Tilbury,Mascara,No
,WanderingLeah,2 Nov 2024,I super loved this mascara. But I ended up having a reaction to it two months after getting it. It made my eyes super itchy and puffy. Beautiful color and definitely did give my lashes volume. Super sad when I couldn’t use it again.,Tilbury,Mascara,No
My new go to,FutureMrsGuezmi,30 Oct 2024,"Received a sample size of this. Put one coat on. I don’t know where those eyelashes came from, but this will be my new go to mascara! Obsessed!",Tilbury,Mascara,No
not for me,zoeyrae05,25 Oct 2024,"really doesn’t do anything to my lashes. Looks like i barely put any on, i used it for my bottom lashes instead of the top because it just doesn’t work. way too overpriced",Tilbury,Mascara,No
,leialexisa,22 Oct 2024,"I wish I could say better things about this mascara. I’m giving it one star because it made my lashes longer but smudged so bad. I love almost all of Charlotte Tilbury’s products but, this was a miss for me. Wouldn’t buy it again.",Tilbury,Mascara,No
Why all the hate?,SeekerSadie,19 Oct 2024,"Why are people hating on this mascara so much? This was the first charlotte tilbury product I’ve tried and all I can say, is that I am shocked with the results. After curling my lashes, I apply 2-3 layers. At the end of the day, none of the mascara comes off and it hold my lashes up. I get so many compliments a day, and I will 100% repurchase.",Tilbury,Mascara,No
smudgy :(,audreylogan,19 Oct 2024,"so cutesy so voluminous…until it smudges 
e v e r y w h e r e",Tilbury,Mascara,No
!BEST EVER!  🥰,TWski,18 Oct 2024,"After decades of clumpy mascara, I have found the first that doesn’t clump. BEST MASCARA EVER!",Tilbury,Mascara,No
The best natural looking mascara for my lashes!,bellaksh,15 Oct 2024,"I got the mini size to try it out and it’s been phenomenal! I have very sparse but long lashes so I was looking for a natural-looking mascara that gives some volume and this was THE ONE. It looks so natural on my lashes but also gives me just the smallest bit of volume! Here’s how I use it: I go in with the bristled side first and do a coat or two, then I use the flat side and push it up into my lashes. Then I comb it out once more with the bristled side. So good, 10/10 recommend!",Tilbury,Mascara,No
Not Great,godfl,14 Oct 2024,Great applicator but product is awful.  Product clumped when putting it on and flaked constantly until it was taken off.,Tilbury,Mascara,No
Smudges so easily!,katiecoops,14 Oct 2024,The only item I’ve ever returned to Sephora! Was shocked - I had dark circles and smudging under my eyes after 3 hours of wear. Also not volumizing at all. You just don’t get enough “traction” with the wand.,Tilbury,Mascara,No
Overpriced,makeups2000,14 Oct 2024,For the price point I wish I could give 0 stars! Go to a cvs and buy any other one and I’m sure it will do better!,Tilbury,Mascara,No
Trash,rhondajackie,10 Oct 2024,"Raccoon eyes after an hour. Nope!
Too expensive to be this bad.",Tilbury,Mascara,No
Too expensive for what it is,Mikaylajadeh,6 Oct 2024,"I love CT and I used this mascara for YEARS because it does look pretty and is very lengthening if you can finagle it. However, EVERY tube of this I've bought has been as dry as the Sahara. It's so dry that it is difficult to use and get an even coat on my eyelashes, even brand new. For 30 dollars I just don't think it's worth the money. There are better, cheaper mascaras out there.",Tilbury,Mascara,No
,dfaltis,5 Oct 2024,This mascara is very clumpy and smudges easily.  The applicator applies the product in clumps on your lashes and there have been a few times that it was so bad that I needed to wash off my eye makeup and start over.,Tilbury,Mascara,No
Mascara that gives you lash looks ￼,SNValdez,4 Oct 2024,"This mascara is my go to it, elongates my lashes thickens them. A lot of people think I have fall slashes but it’s the mascara really volumes the lashes and makes them long and beautiful ￼",Tilbury,Mascara,No
Looks good at first,sillynilly111,19 Sep 2024,"It looks good when applied at first, but then during the day it doesn't hold a curl at all. My curled lashes immediately fall straight. The package says it's ""humidity proof"" but unfortunately that is not the case.",Tilbury,Mascara,No
Too think and clumpy,MKEAT74,17 Sep 2024,"Not impressed with product 
Very clumpy and not easy to use",Tilbury,Mascara,No
,Theaz13,7 Sep 2024,Thank god for this shade! I’m a red head and this is the best mascara option I’ve tried. I use it daily and I love it.,Tilbury,Mascara,No
Cute but smudges,melody0,6 Sep 2024,"I know what you’re thinking Charlotte Tilbury is new and trending. And have some amazing products on the market.  I’m sure you’re thinking the mascara will be the same. And yes the mascara application looks stunning, however after wearing it for half a day. It smudges really bad.",Tilbury,Mascara,No
Sad experience,darkhanna,4 Sep 2024,"This is the worst mascara I ever had, it looks fine in the beginning but then no matter hot or cold weather it ends up smeared around and below the eye area, which looks like I cried... Def not what I want from mascara.",Tilbury,Mascara,No
MUST HAVEE,Paolaaagal,31 Aug 2024,"I received a sample for my birthday and I’m in loveeee
 I mean it",Tilbury,Mascara,No
,NikiN792,29 Aug 2024,"Honestly, I wasn’t impressed! A lot of product comes off the brush and I find myself wiping a lot of it off. I hate when you have to do that. It’s either too much or too little. It does give volume but overall I didn’t care for it.",Tilbury,Mascara,No
Dagger-eyed mascara,Bigheaddental,26 Aug 2024,"So I’m seeing how my lashes look using the Exagger-eyes volume mascara and I have mixed feelings. The end result does look very good, however the product I think is kinda messy. I don’t know if it’s too thick or if the brush is wrong for the formulas consistency. After brushing it through my lashes with a different brush I was able to get the look I wanted. Try it for yourself see what you think.",Tilbury,Mascara,No
